drugname,raw_smiles,canonical_smiles,toxicity_score,n_reports
INFLECTRA,,,0.23840023832576152,67135
METHOTREXATE,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0.6499965664057135,58248
PREDNISONE,CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,0.5549528637074234,42218
RITUXIMAB,,,0.5698554490823453,30785
SULFASALAZINE,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0.686702649656526,28532
ACETAMINOPHEN,CC(=O)NC1=CC=C(C=C1)O,CC(=O)Nc1ccc(O)cc1,0.5617257582229817,25751
FOLIC ACID,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,Nc1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1,0.6623550226066444,25435
ACTEMRA,,,0.6393979057591623,24448
VEDOLIZUMAB,,,0.24272112598316545,21741
TEDUGLUTIDE,CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(CC(=O)O)C(=O)O)NC(=O)C(CCCCN)NC(=O)C(C(C)O)NC(=O)C(CCC(=O)N)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(CC(=O)N)NC(=O)C(C(C)CC)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)N)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(C(C)CC)NC(=O)C(C(C)O)NC(=O)C(CC(=O)N)NC(=O)C(CCSC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(CC4=CC=CC=C4)NC(=O)C(CO)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC5=CN=CN5)N,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C(CCSC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(Cc1ccccc1)NC(=O)C(CO)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(N)Cc1cnc[nH]1)C(C)O)C(C)CC)C(=O)NC(CC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CCC(N)=O)C(=O)NC(C(=O)NC(CCCCN)C(=O)NC(C(=O)NC(C(=O)NC(CC(=O)O)C(=O)O)C(C)O)C(C)CC)C(C)O)C(C)CC,0.4956880389951256,21336
DEXAMETHASONE,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0.5340641206977841,16968
CETIRIZINE HYDROCHLORIDE,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl,Cl.Cl.O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0.6802489080356608,16713
HUMIRA,,,0.523106270383361,16251
ORENCIA,,,0.6672189650777466,15692
LEFLUNOMIDE,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,0.6502698215026982,14454
ASPIRIN,CC(=O)OC1=CC=CC=C1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,0.4962911611785095,14425
HYDROXYCHLOROQUINE,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.6477312574514342,14259
COSENTYX,,,0.4719632768361582,14160
DESOXIMETASONE,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1C(=O)CO,0.710889627168697,13545
XELJANZ,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,0.6213075423601739,13338
PERCOCET,CC(=O)NC1=CC=C(C=C1)O.CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)OC)O4)O,CC(=O)Nc1ccc(O)cc1.COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,0.15026959443619597,12797
HYDROXYCHLOROQUINE SULFATE,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO.OS(=O)(=O)O,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=S(=O)(O)O,0.6809100998890122,12614
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,,,0.16274525767320688,12283
ENBREL,,,0.6414765657403567,12055
PANTOPRAZOLE,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,0.5642804291527932,10812
PREDNISOLONE,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0.5281742354031511,10790
CYCLOPHOSPHAMIDE,C1CNP(=O)(OC1)N(CCCl)CCCl,O=P1(N(CCCl)CCCl)NCCCO1,0.46560386473429954,10350
REMICADE,,,0.5607340518496942,10299
ACETAMINOPHEN\HYDROCODONE BITARTRATE,,,0.11869112543381259,10085
ONDANSETRON,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,0.6687061183550652,9970
FUROSEMIDE,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0.5755229283990346,9944
DICLOFENAC SODIUM,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],0.7090311312031234,9733
PHTHALYLSULFATHIAZOLE,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)C(=O)O,O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,0.722581317764804,9592
ADALIMUMAB,,,0.5635133684097499,9313
TRAMADOL HYDROCHLORIDE,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O.Cl,COc1cccc(C2(O)CCCCC2CN(C)C)c1.Cl,0.19041464728056004,9285
CIMZIA,,,0.623422840504691,9273
GABAPENTIN,C1CCC(CC1)(CC(=O)O)CN,NCC1(CC(=O)O)CCCCC1,0.4891364902506964,8975
METHOTREXATE SODIUM,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-].[Na+].[Na+],CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1.[Na+].[Na+],0.5963209570025957,8861
