canonical_smiles,source_rows,unique_drug_names,unique_scores,drug_names,toxicity_scores,report_counts
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,2,2,2,CHOLECALCIFEROL | VITAMIN D3,0.487472201631 | 0.552820512821,5850 | 6745
CC(=O)Nc1ccc(O)cc1,3,3,3,ACETAMINOPHEN | TYLENOL | TYLENOL EXTRA STRENGTH,0.202883625129 | 0.462920884115 | 0.561725758223,971 | 4841 | 25751
CC(=O)Nc1ccc(O)cc1.COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,2,2,2,ENDOCET | PERCOCET,0.136893029923 | 0.150269594436,5581 | 12797
CC(=O)O.CC(=O)O.CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1,2,2,2,SANDOSTATIN | SANDOSTATIN LAR DEPOT,0.453369905956 | 0.460848287113,1226 | 2552
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,2,2,2,IBRANCE | PALBOCICLIB,0.297135740971 | 0.393106457243,2292 | 4015
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,2,2,2,ALBUTEROL | VENTOLIN,0.39372246696 | 0.543768458358,1816 | 8465
CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)[O-])CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1.[Na+],2,2,2,MONTELUKAST SODIUM | SINGULAIR,0.421659843692 | 0.446081714668,1493 | 2687
CC(C)CC(CN)CC(=O)O,2,2,2,LYRICA | PREGABALIN,0.531788286878 | 0.534785932722,3193 | 5232
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,2,2,2,BORTEZOMIB | VELCADE,0.359884836852 | 0.465488215488,1042 | 2376
CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2.[Br-],2,2,2,ATROVENT | IPRATROPIUM BROMIDE,0.633055677335 | 0.713695395514,1694 | 2281
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-].[Ca+2],2,2,2,ATORVASTATIN CALCIUM | LIPITOR,0.448158640227 | 0.503219871205,1765 | 2174
