source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
C(CCl)NC(=O)N(CCCl)N=O,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,1,reported_twosides,0.0013927447143942118,0.006203040626397308,0.5092713250521524,0,0.5030682844257551,0.037712053743655785,0.9529806884970613,0.0008396305625524769,no_interaction,1,False,0.2391304347826087,0.5227272727272727,0.2391304347826087,False,False,True
C(CCl)NC(=O)N(CCCl)N=O,C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt],1,reported_twosides,0.0018389093456789851,0.007651723376564773,0.5092713250521524,0,0.5016196016755877,0.04490787819475252,0.943744752308984,0.0008396305625524769,no_interaction,1,False,0.2391304347826087,0.26666666666666666,0.2391304347826087,False,False,True
CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,C[N+](C)(C)CC(CC(=O)O)O,1,reported_twosides,0.005882881116122007,0.01835958872859491,0.5092713250521524,0,0.49091173632355756,0.09158436286679979,0.8984047019311503,0.0008396305625524769,no_interaction,1,False,0.5892857142857143,0.36666666666666664,0.36666666666666664,False,False,True
C1CC(OC1CO)N2C=NC3=C2NC=NC3=O,C[N+](C)(C)CC(CC(=O)O)O,1,reported_twosides,0.008454524911940098,0.024086162378218718,0.5092713250521524,0,0.48518516267393375,0.11354161126095433,0.8765743073047859,0.0016792611251049538,no_interaction,1,False,0.3492063492063492,0.36666666666666664,0.3492063492063492,False,False,True
CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,C[N+](C)(C)CC(CC(=O)O)O,1,reported_twosides,0.010072160512208939,0.02744984466638311,0.5092713250521524,0,0.48182148038576933,0.12576263030437979,0.8581024349286314,0.0016792611251049538,no_interaction,1,False,0.603448275862069,0.36666666666666664,0.36666666666666664,False,False,True
C(CCl)NC(=O)N(CCCl)N=O,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,1,reported_twosides,0.011074364185333252,0.029461545058373693,0.5092713250521524,0,0.4798097799937788,0.13286543483848778,0.8488664987405542,0.0025188916876574307,no_interaction,1,False,0.2391304347826087,0.603448275862069,0.2391304347826087,False,False,True
CC1=C(SC=C1)C(=CCCN2CCCC(C2)C(=O)O)C3=C(C=CS3)C,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,1,reported_twosides,0.01283657643944025,0.03288546672336417,0.5092713250521524,0,0.47638585832878827,0.1446335205718069,0.8396305625524769,0.0025188916876574307,no_interaction,1,False,0.26865671641791045,0.5892857142857143,0.26865671641791045,False,False,True
CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,1,reported_twosides,0.014951803721487522,0.03683286161292106,0.5092713250521524,0,0.4724384634392314,0.15774476142570365,0.8270361041141897,0.0033585222502099076,no_interaction,1,False,0.8059701492537313,0.5227272727272727,0.5227272727272727,False,False,False
C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt],CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],1,reported_twosides,0.016731536015868187,0.040037862484326565,0.5092713250521524,0,0.4692334625678259,0.1680644580869087,0.8161209068010076,0.0033585222502099076,no_interaction,1,False,0.26666666666666666,0.6428571428571429,0.26666666666666666,False,False,True
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C,1,reported_twosides,0.020054252818226814,0.04578418223198073,0.5092713250521524,0,0.4634871428201717,0.1859097364235377,0.8026868178001679,0.005037783375314861,no_interaction,1,False,0.23529411764705882,0.6417910447761194,0.23529411764705882,False,False,True
C(CCl)NC(=O)N(CCCl)N=O,CN(C)NN=C1C(=NC=N1)C(=O)N,1,reported_twosides,0.022223392501473427,0.04939338879681321,0.5092713250521524,0,0.45987793625533924,0.19672522529931125,0.7951301427371956,0.005037783375314861,no_interaction,1,False,0.2391304347826087,0.24390243902439024,0.2391304347826087,False,False,True
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,CC1=C(SC=C1)C(=CCCN2CCCC(C2)C(=O)O)C3=C(C=CS3)C,1,reported_twosides,0.022941408678889275,0.05056625994011684,0.5092713250521524,0,0.4587050651120356,0.20017919792250777,0.7917716204869857,0.005877413937867338,no_interaction,1,False,0.23529411764705882,0.26865671641791045,0.23529411764705882,False,False,True
C(CCl)NC(=O)N(CCCl)N=O,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],1,reported_twosides,0.023616736754775047,0.05166012060786667,0.5092713250521524,0,0.45761120444428577,0.20337465585179745,0.7892527287993283,0.005877413937867338,no_interaction,1,False,0.2391304347826087,0.6428571428571429,0.2391304347826087,False,False,True
C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt],CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,1,reported_twosides,0.024668335914611816,0.05334627782337736,0.5092713250521524,0,0.4559250472287751,0.20825269569523133,0.7858942065491183,0.005877413937867338,no_interaction,1,False,0.26666666666666666,0.4492753623188406,0.26666666666666666,False,False,True
C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt],CN(C)NN=C1C(=NC=N1)C(=O)N,1,reported_twosides,0.02617052011191845,0.05572054066237645,0.5092713250521524,0,0.453550784389776,0.2150263340325282,0.781696053736356,0.005877413937867338,no_interaction,1,False,0.26666666666666666,0.24390243902439024,0.24390243902439024,False,False,True
