source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,CC12CCC3C(C1CCC2(C)O)CCC4C3(COC(=O)C4)C,0,unreported_twosides_sampled,0.9999866485595703,0.9997836770288295,0.5092713250521524,1,0.4905123519766771,0.002041792455276883,0.0008396305625524769,0.9991603694374476,interaction,1,False,0.5853658536585366,0.31343283582089554,0.31343283582089554,False,False,True
C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,0,unreported_twosides_sampled,0.99997878074646,0.9996925027057887,0.5092713250521524,1,0.49042117765363624,0.0027941942432850933,0.0008396305625524769,0.9991603694374476,interaction,1,False,0.5853658536585366,0.3018867924528302,0.3018867924528302,False,False,True
CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],0,unreported_twosides_sampled,0.999971866607666,0.999619090597632,0.5092713250521524,1,0.49034776554547954,0.0033797171456989026,0.0008396305625524769,0.9991603694374476,interaction,1,False,0.7424242424242424,0.25925925925925924,0.25925925925925924,False,False,True
CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCCC3CC2C(=O)O,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,0,unreported_twosides_sampled,0.9999387264251709,0.9993123196911029,0.5092713250521524,1,0.49004099463895046,0.0056952600611236545,0.0008396305625524769,0.9958018471872376,interaction,1,False,0.9636363636363636,0.375,0.375,False,False,True
C1CC(OC1CO)N2C=NC3=C2NC=NC3=O,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,0,unreported_twosides_sampled,0.9999308586120605,0.9992463011455764,0.5092713250521524,1,0.489974976093424,0.0061728996804272535,0.0008396305625524769,0.9958018471872376,interaction,1,False,0.3492063492063492,0.5853658536585366,0.3492063492063492,False,False,True
CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,0,unreported_twosides_sampled,0.9999004602432251,0.9990062627408743,0.5092713250521524,1,0.4897349376887219,0.007863980225110482,0.0008396305625524769,0.9949622166246851,interaction,1,False,0.32653061224489793,0.24050632911392406,0.24050632911392406,False,False,True
CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,0,unreported_twosides_sampled,0.9998898506164551,0.998926901925527,0.5092713250521524,1,0.4896555768733746,0.008409514066850953,0.0008396305625524769,0.9949622166246851,interaction,1,False,0.25925925925925924,0.24050632911392406,0.24050632911392406,False,False,True
CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,0,unreported_twosides_sampled,0.9998207688331604,0.9984476242553975,0.5092713250521524,1,0.489176299203245,0.011591888041029296,0.0008396305625524769,0.9916036943744753,interaction,1,False,0.4533333333333333,0.375,0.375,False,False,True
CN1C(=C(NC2=CC=CC=N2)O)C(=O)C3=CC=CC=C3S1(=O)=O,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],0,unreported_twosides_sampled,0.9998065829277039,0.9983553235164747,0.5092713250521524,1,0.48908399846432227,0.01218604750220968,0.0008396305625524769,0.9916036943744753,interaction,1,False,0.62,0.25925925925925924,0.25925925925925924,False,False,True
CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCCC3CC2C(=O)O,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],0,unreported_twosides_sampled,0.9997414946556091,0.9979508184294285,0.5092713250521524,1,0.488679493377276,0.014732159565406938,0.0008396305625524769,0.9857262804366079,interaction,1,False,0.9636363636363636,0.25925925925925924,0.25925925925925924,False,False,True
