source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,1,reported_twosides,0.001926227705553174,0.0079244094020608,0.5092713250521524,0,0.5013469156500916,0.046229695125096955,0.9429051217464316,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C.C1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC=C(C=C1)S(=O)(=O)[O-],1,reported_twosides,0.0021079988218843937,0.008482414248010018,0.5092713250521524,0,0.5007889108041425,0.048905418049477435,0.9403862300587741,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,1,reported_twosides,0.003495528595522046,0.012417357421917508,0.5092713250521524,0,0.4968539676302349,0.0668355006734577,0.9227539882451721,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CN=CC=C1C(=O)NN,CC(C)(C(C(=O)O)N)S,1,reported_twosides,0.0038193403743207455,0.01327317646235742,0.5092713250521524,0,0.495998148589795,0.0705514980744771,0.9210747271200672,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(C(C(C(C(CO)O)O)O)O)O,C(C(F)(F)F)(OC(F)F)Cl,1,reported_twosides,0.003960426431149244,0.013640237185788568,0.5092713250521524,0,0.4956310878663639,0.0721279359990204,0.9202350965575147,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=NC2C(=N1)NC(=NC2=S)N,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,1,reported_twosides,0.005287284031510353,0.01694689342375387,0.5092713250521524,0,0.49232443162839856,0.08590632815909742,0.9042821158690176,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O,1,reported_twosides,0.00621232483536005,0.01912502310829367,0.5092713250521524,0,0.4901463019438588,0.09461404496751286,0.8942065491183879,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C,1,reported_twosides,0.006455793511122465,0.01968395427106812,0.5092713250521524,0,0.48958737078108433,0.09680655875962843,0.8900083963056256,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,1,reported_twosides,0.006973985582590103,0.020855752047212326,0.5092713250521524,0,0.4884155730049401,0.1013511206095733,0.887489504617968,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2,1,reported_twosides,0.008064539171755314,0.023250713021357828,0.5092713250521524,0,0.4860206120307946,0.11043398050076896,0.8774139378673383,0.0016792611251049538,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O,CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C=CC=C3O,1,reported_twosides,0.008417119272053242,0.024006475112797587,0.5092713250521524,0,0.48526484993935487,0.11324649475938332,0.8765743073047859,0.0016792611251049538,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(C1C(C(C(C(O1)O)O)O)O)O,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,1,reported_twosides,0.009109564125537872,0.025467056786304315,0.5092713250521524,0,0.4838042682658481,0.11861349265826382,0.871536523929471,0.0016792611251049538,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C)(C)NCC(COC1=CC=CC2=C1CCCC2=O)O,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,1,reported_twosides,0.009492875076830387,0.02626294266285052,0.5092713250521524,0,0.48300838238930194,0.12150152264961087,0.8656591099916037,0.0016792611251049538,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1,reported_twosides,0.00979431252926588,0.026882879073604635,0.5092713250521524,0,0.4823884459785478,0.12373388470128772,0.8614609571788413,0.0016792611251049538,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C,1,reported_twosides,0.011890246532857418,0.03106360333907279,0.5092713250521524,0,0.4782077217130797,0.13842013976706027,0.8471872376154492,0.0025188916876574307,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,1,reported_twosides,0.012066226452589035,0.031405253362206745,0.5092713250521524,0,0.4778660716899457,0.1395935390521543,0.8463476070528967,0.0025188916876574307,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C)(CC1=CC=CC=C1)N,CCC1C2(C(C(C(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,1,reported_twosides,0.012578953057527542,0.03239316816696203,0.5092713250521524,0,0.4768781568851904,0.1429650896177584,0.8429890848026869,0.0025188916876574307,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,1,reported_twosides,0.013220855966210365,0.03361489977337465,0.5092713250521524,0,0.4756564252787778,0.1470916366366771,0.837951301427372,0.0025188916876574307,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(=O)OC1C(CC2C1(CCC3C2CCC4C3(CC(C(C4)O)N5CCOCC5)C)C)[N+]6(CCCC6)CC=C,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2,1,reported_twosides,0.013390070758759975,0.033934287914996586,0.5092713250521524,0,0.47533703713715586,0.14816276609524787,0.8371116708648195,0.0025188916876574307,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,CS(=O)(=O)OCCCCOS(=O)(=O)C,1,reported_twosides,0.013663381338119507,0.034447871450844415,0.5092713250521524,0,0.474823453601308,0.14987865414130885,0.834592779177162,0.0025188916876574307,no_interaction,1,False,1.0,1.0,1.0,True,True,False
