source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N,0,unreported_twosides_sampled,0.9986863732337952,0.9929880025785761,0.5092713250521524,1,0.48371667752642367,0.04176779326378924,0.0008396305625524769,0.947103274559194,interaction,1,False,1.0,1.0,1.0,True,True,False
C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,C1C(=S)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F)CC(F)(F)F,0,unreported_twosides_sampled,0.9974279999732971,0.9883641573611675,0.5092713250521524,1,0.479092832309015,0.06339002794376872,0.0008396305625524769,0.9269521410579346,interaction,1,False,1.0,1.0,1.0,True,True,False
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],CC(C)(C)NCC(COC1=CC=CC2=C1CCCC2=O)O,0,unreported_twosides_sampled,0.997130811214447,0.9873667213810136,0.5092713250521524,1,0.4780953963288611,0.06777851732807832,0.0008396305625524769,0.9227539882451721,interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CC(=CN=C1)CC(O)(P(=O)(O)O)P(=O)(O)O,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,0,unreported_twosides_sampled,0.9967083930969238,0.9859930547761693,0.5092713250521524,1,0.47672172972401683,0.07369285812496859,0.0008396305625524769,0.9177162048698573,interaction,1,False,1.0,1.0,1.0,True,True,False
C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(OC3=CC=CC=C3C2=O)O,0,unreported_twosides_sampled,0.9966337084770203,0.9857550193314936,0.5092713250521524,1,0.4764836942793411,0.07470344378862002,0.0008396305625524769,0.9143576826196473,interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=C(N=CN1)CSCCNC(=NC)NC#N,CC1C=CC=CCCC=CC=CC=CC=CC(CC(C(C(CC(=O)CC(C(CCC(CC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)C(=O)O)O)OC2C(C(C(C(O2)C)O)N)O,0,unreported_twosides_sampled,0.9965683221817017,0.9855477296480893,0.5092713250521524,1,0.4762764045959369,0.07558020810223406,0.0008396305625524769,0.9118387909319899,interaction,1,False,1.0,1.0,1.0,True,True,False
CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,CN(C)C(=N)N=C(N)N,0,unreported_twosides_sampled,0.9963929057121277,0.9849965514146941,0.5092713250521524,1,0.47572522636254166,0.07789693992921648,0.0008396305625524769,0.9093198992443325,interaction,1,False,1.0,1.0,1.0,True,True,False
CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C,[O-]S(=O)(=O)[O-],0,unreported_twosides_sampled,0.9948659539222717,0.9804524041311832,0.5092713250521524,1,0.47118107907903073,0.09627317753153235,0.0008396305625524769,0.890848026868178,interaction,1,False,1.0,1.0,1.0,True,True,False
C(CN)C(O)(P(=O)(O)O)P(=O)(O)O,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,0,unreported_twosides_sampled,0.9938648343086243,0.977667588275245,0.5092713250521524,1,0.4683962632230926,0.1069826578537768,0.0008396305625524769,0.8807724601175483,interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,0,unreported_twosides_sampled,0.9934378266334534,0.9765169683358855,0.5092713250521524,1,0.4672456432837331,0.11130117857361256,0.0016792611251049538,0.8774139378673383,interaction,1,False,1.0,1.0,1.0,True,True,False
CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,0,unreported_twosides_sampled,0.9930689334869385,0.9755388461431765,0.5092713250521524,1,0.4662675210910241,0.1149267549209067,0.0016792611251049538,0.874895046179681,interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=NC=C(N1CCO)[N+](=O)[O-],C[N+]1=CC=CC(=C1)OC(=O)N(C)C,0,unreported_twosides_sampled,0.9930144548416138,0.975395581902703,0.5092713250521524,1,0.4661242568505506,0.1154543838729347,0.0016792611251049538,0.8740554156171285,interaction,1,False,1.0,1.0,1.0,True,True,False
