source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
C(CCl)NC(=O)N(CCCl)N=O,CN(C)NN=C1C(=NC=N1)C(=O)N,1,reported_twosides,7.947488484205678e-05,0.0011692166417938035,0.5027853759154408,0,0.501616159273647,0.009062406971057214,0.9832073887489504,0.0008396305625524769,no_interaction,1,False,0.2391304347826087,0.24390243902439024,0.2391304347826087,False,False,True
C(CCl)NC(=O)N(CCCl)N=O,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,1,reported_twosides,0.0004196675436105579,0.0038614509789655638,0.5027853759154408,0,0.49892392493647525,0.0253109579772839,0.9546599496221663,0.0008396305625524769,no_interaction,1,False,0.2391304347826087,0.603448275862069,0.2391304347826087,False,False,True
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,1,reported_twosides,0.000503087358083576,0.004397341125428543,0.5027853759154408,0,0.49838803479001226,0.028250952482370632,0.9504617968094039,0.0008396305625524769,no_interaction,1,False,0.43333333333333335,0.5892857142857143,0.43333333333333335,False,False,False
CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,C[N+](C)(C)CC(CC(=O)O)O,1,reported_twosides,0.0011476207291707397,0.007934451696142975,0.5027853759154408,0,0.4948509242192978,0.046278191503099676,0.9269521410579346,0.0008396305625524769,no_interaction,1,False,0.5892857142857143,0.36666666666666664,0.36666666666666664,False,False,True
C(CCl)NC(=O)N(CCCl)N=O,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],1,reported_twosides,0.0011887685395777225,0.008136692386513043,0.5027853759154408,0,0.49464868352892777,0.04725214938923942,0.9269521410579346,0.0008396305625524769,no_interaction,1,False,0.2391304347826087,0.6428571428571429,0.2391304347826087,False,False,True
CN(C)NN=C1C(=NC=N1)C(=O)N,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,1,reported_twosides,0.0016280574491247535,0.010184585311914162,0.5027853759154408,0,0.49260079060352663,0.0568480155760028,0.9177162048698573,0.0008396305625524769,no_interaction,1,False,0.24390243902439024,0.603448275862069,0.24390243902439024,False,False,True
C1CC(OC1CO)N2C=NC3=C2NC=NC3=O,C[N+](C)(C)CC(CC(=O)O)O,1,reported_twosides,0.0019083466613665223,0.011405840216788395,0.5027853759154408,0,0.4913795356986524,0.06236605107259552,0.9093198992443325,0.0008396305625524769,no_interaction,1,False,0.3492063492063492,0.36666666666666664,0.3492063492063492,False,False,True
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,1,reported_twosides,0.0020239651203155518,0.011893991060998053,0.5027853759154408,0,0.4908913848544428,0.0645338368031842,0.90848026868178,0.0008396305625524769,no_interaction,1,False,0.43333333333333335,0.5227272727272727,0.43333333333333335,False,False,False
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,CCCC1(CC(=O)C(=C(O1)O)C(CC)C2=CC(=CC=C2)NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)CCC4=CC=CC=C4,1,reported_twosides,0.002403797348961234,0.01344322638770717,0.5027853759154408,0,0.48934214952773364,0.0712830840183925,0.9042821158690176,0.0008396305625524769,no_interaction,1,False,0.43333333333333335,0.2247191011235955,0.2247191011235955,False,False,True
C(CCl)NC(=O)N(CCCl)N=O,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,1,reported_twosides,0.002573915757238865,0.014113235053781042,0.5027853759154408,0,0.4886721408616598,0.07414461727111848,0.9034424853064652,0.0008396305625524769,no_interaction,1,False,0.2391304347826087,0.5227272727272727,0.2391304347826087,False,False,True
