source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,0,unreported_twosides_sampled,0.9999988079071045,0.9999474799908178,0.5027853759154408,1,0.497162104075377,0.0005700674143125626,0.0008396305625524769,0.9991603694374476,interaction,1,False,1.0,0.375,0.375,True,False,True
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,0,unreported_twosides_sampled,0.9999959468841553,0.9998733338739485,0.5027853759154408,1,0.4970879579585077,0.0012633543279475467,0.0008396305625524769,0.9991603694374476,interaction,1,False,1.0,0.375,0.375,True,False,True
CC(C)CC(CC(=O)O)CN,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,0,unreported_twosides_sampled,0.9999940395355225,0.9998328358199028,0.5027853759154408,1,0.497047459904462,0.0016208992022636003,0.0008396305625524769,0.9991603694374476,interaction,1,False,1.0,0.375,0.375,True,False,True
C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,CC12CCC3C(C1CCC2(C)O)CCC4C3(COC(=O)C4)C,0,unreported_twosides_sampled,0.9999901056289673,0.9997593050399357,0.5027853759154408,1,0.4969739291244949,0.0022461316206635047,0.0008396305625524769,0.998320738874895,interaction,1,False,1.0,0.31343283582089554,0.31343283582089554,True,False,True
CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,0,unreported_twosides_sampled,0.999983549118042,0.9996530428257678,0.5027853759154408,1,0.496867666910327,0.0031108651077038996,0.0008396305625524769,0.998320738874895,interaction,1,False,1.0,0.375,0.375,True,False,True
C1=CC(=CN=C1)C(=O)[O-],CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,0,unreported_twosides_sampled,0.9999827146530151,0.9996404737124811,0.5027853759154408,1,0.4968550977970403,0.0032107651415749397,0.0008396305625524769,0.9974811083123426,interaction,1,False,1.0,0.375,0.375,True,False,True
CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)SCF)O)C)O)F)C)F,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,0,unreported_twosides_sampled,0.9999818801879883,0.9996280740576349,0.5027853759154408,1,0.49684269814219406,0.003308887428614758,0.0008396305625524769,0.9974811083123426,interaction,1,False,1.0,0.375,0.375,True,False,True
CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC=CC=C3CC2C(=O)O,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,0,unreported_twosides_sampled,0.9999767541885376,0.9995550991044041,0.5027853759154408,1,0.4967697231889633,0.003878395316686662,0.0008396305625524769,0.9958018471872376,interaction,1,False,1.0,0.375,0.375,True,False,True
CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCCC3CC2C(=O)O,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,0,unreported_twosides_sampled,0.999972939491272,0.9995037290310984,0.5027853759154408,1,0.4967183531156576,0.004271970124938204,0.0008396305625524769,0.9958018471872376,interaction,1,False,0.9636363636363636,1.0,0.9636363636363636,False,True,False
C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,0,unreported_twosides_sampled,0.9999703168869019,0.9994695954271888,0.5027853759154408,1,0.496684219511748,0.00453050648295438,0.0008396305625524769,0.9958018471872376,interaction,1,False,1.0,0.375,0.375,True,False,True
