source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
C1C2CC3CC1CC(C2)(C3)N,CC1=C(C(=CC=C1)C)OCC(C)N,1,reported_twosides,0.002581347245723009,0.014142199354172389,0.5027853759154408,0,0.48864317656126843,0.07426758197496328,0.9034424853064652,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,CS(=O)(=O)OCCCCOS(=O)(=O)C,1,reported_twosides,0.0032406733371317387,0.016622718622637322,0.5027853759154408,0,0.4861626572928035,0.08458681694371108,0.892527287993283,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O,1,reported_twosides,0.0033352787140756845,0.01696566835114149,0.5027853759154408,0,0.4858197075642993,0.08598255465204309,0.8916876574307305,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=C(C(=CC=C1)C)OCC(C)N,CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,1,reported_twosides,0.004131711088120937,0.019746796436311633,0.5027853759154408,0,0.4830385794791292,0.09705204819542879,0.8790931989924433,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC=CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O,1,reported_twosides,0.005598992109298706,0.024479747855981348,0.5027853759154408,0,0.4783056280594595,0.11499528336833179,0.8673383711167086,0.0025188916876574307,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,C1=NC2C(=N1)NC(=NC2=S)N,1,reported_twosides,0.005909995641559362,0.02543145908408804,0.5027853759154408,0,0.47735391683135275,0.11848372870735854,0.8648194794290512,0.0033585222502099076,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCCCCN=C(N)NNC=C1C=NC2=C1C=C(C=C2)CO,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,1,reported_twosides,0.006179950200021267,0.026245142999499402,0.5027853759154408,0,0.4765402329159414,0.12143720658358478,0.8639798488664987,0.0033585222502099076,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,1,reported_twosides,0.006536170840263367,0.02730229987845109,0.5027853759154408,0,0.47548307603698975,0.12523584681733674,0.8589420654911839,0.0033585222502099076,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,1,reported_twosides,0.006683075334876776,0.027733059982955808,0.5027853759154408,0,0.475052315932485,0.1267715209742845,0.8572628043660789,0.0033585222502099076,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(C(C(C(C(CO)O)O)O)O)O,CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F,1,reported_twosides,0.00682844826951623,0.02815645663188467,0.5027853759154408,0,0.47462891928355616,0.12827423720604386,0.855583543240974,0.0033585222502099076,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,CN1CCCC1C2=CN=CC=C2,1,reported_twosides,0.008096118457615376,0.031738005324584324,0.5027853759154408,0,0.4710473705908565,0.14073268885269394,0.8488664987405542,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(C(C(C(C(CO)O)O)O)O)O,CC(C)(C)NCC(COC1=CC=CC2=C1CC(C(C2)O)O)O,1,reported_twosides,0.008700679987668991,0.03338357538887681,0.5027853759154408,0,0.469401800526564,0.14631388672205597,0.8429890848026869,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(N)(N)(Cl)Cl,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,1,reported_twosides,0.008709852583706379,0.03340826099586087,0.5027853759154408,0,0.46937711491957995,0.14639696256090368,0.8429890848026869,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(CS(=O)(=O)O)S,COCCNC(=O)CN(CCN(CCN(CC(=O)NCCOC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3],1,reported_twosides,0.00924735702574253,0.03484091065422711,0.5027853759154408,0,0.4679444652612137,0.15118643944609744,0.8387909319899244,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(CC1=CC=CC=C1)N,CCCCCN=C(N)NNC=C1C=NC2=C1C=C(C=C2)CO,1,reported_twosides,0.010357579216361046,0.037719695548295636,0.5027853759154408,0,0.4650656803671452,0.16062824242878515,0.8320738874895046,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C=C1C(CC(C1CO)O)N2C=NC3=C2NC(=NC3=O)N,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,1,reported_twosides,0.010567771270871162,0.03825346615194848,0.5027853759154408,0,0.46453190976349235,0.16235328421509354,0.8303946263643996,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,CC(C)(C)NCC(COC1=CC=CC2=C1CCCC2=O)O,1,reported_twosides,0.011258942075073719,0.03998537225680532,0.5027853759154408,0,0.4628000036586355,0.16789765719247918,0.8270361041141897,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,1,reported_twosides,0.012490835040807724,0.04299039635044524,0.5027853759154408,0,0.4597949795649956,0.17733403095155914,0.8127623845507976,0.005877413937867338,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,1,reported_twosides,0.013180450536310673,0.04463088191440029,0.5027853759154408,0,0.4581544940010405,0.182391873650512,0.8085642317380353,0.005877413937867338,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(C(C(C(C(CO)O)O)O)O)O,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)N=C(N3)N)C(=O)NC(CCC(=O)O)C(=O)O,1,reported_twosides,0.01331330370157957,0.04494370664493572,0.5027853759154408,0,0.45784166927050507,0.18334912094942807,0.8077246011754828,0.005877413937867338,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC(=O)OC)C(=O)OC,CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N,1,reported_twosides,0.013679778203368187,0.04580145203451114,0.5027853759154408,0,0.4569839238809297,0.18596218055817929,0.8052057094878253,0.005877413937867338,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(CCCC(=O)O)CCCC(=O)O,C1=CC(=CN=C1)C(=O)[O-],1,reported_twosides,0.01479288935661316,0.04836232213078257,0.5027853759154408,0,0.45442305378465825,0.19366467243446495,0.801007556675063,0.005877413937867338,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1(C2CC3C(C(=O)C(=C(N)O)C(=O)C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,1,reported_twosides,0.015268038026988506,0.049436254108827155,0.5027853759154408,0,0.4533491218066137,0.19685197062817106,0.8001679261125105,0.005877413937867338,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,1,reported_twosides,0.015478057786822319,0.04990745962627987,0.5027853759154408,0,0.45287791628916096,0.19824267366517995,0.799328295549958,0.005877413937867338,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C,1,reported_twosides,0.015835706144571304,0.05070511370112355,0.5027853759154408,0,0.45208026221431724,0.20058619722569987,0.7959697732997482,0.006717044500419815,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(O)(P(=O)(O)O)P(=O)(O)O,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,1,reported_twosides,0.01599244214594364,0.05105281831881542,0.5027853759154408,0,0.4517325575966254,0.2016036117689408,0.7951301427371956,0.006717044500419815,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1(C2CC3C(C(=O)C(=C(N)O)C(=O)C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O,CCCC(C)(COC(=O)N)COC(=O)N,1,reported_twosides,0.0167044997215271,0.052618631924367484,0.5027853759154408,0,0.4501667439910733,0.20615462724256056,0.7917716204869857,0.006717044500419815,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(CS(=O)(=O)O)S,CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].O.[Gd+3],1,reported_twosides,0.01731894537806511,0.05395225719172145,0.5027853759154408,0,0.44883311872371934,0.20999194782562094,0.7892527287993283,0.006717044500419815,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,1,reported_twosides,0.017351297661662102,0.05402204097026647,0.5027853759154408,0,0.44876333494517434,0.21019177438620246,0.7892527287993283,0.006717044500419815,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,1,reported_twosides,0.01747897081077099,0.054297014464435855,0.5027853759154408,0,0.44848836145100496,0.21097823737360505,0.7892527287993283,0.006717044500419815,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,1,reported_twosides,0.017837507650256157,0.05506569081595899,0.5027853759154408,0,0.44771968509948185,0.21316897075666913,0.7867338371116709,0.006717044500419815,no_interaction,1,False,1.0,1.0,1.0,True,True,False
