source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O,1,reported_twosides,0.003662786213681102,0.0025077850354347578,0.49581294690645394,0,0.4933051618710192,0.017522145898018832,0.9958018471872376,0.0008396305625524769,no_interaction,1,False,0.43333333333333335,1.0,0.43333333333333335,False,True,False
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,1,reported_twosides,0.003693588078022003,0.002530868731280198,0.49581294690645394,0,0.4932820781751737,0.017660215127186577,0.9958018471872376,0.0008396305625524769,no_interaction,1,False,0.43333333333333335,1.0,0.43333333333333335,False,True,False
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC,1,reported_twosides,0.004046828020364046,0.0027968725268993446,0.49581294690645394,0,0.4930160743795546,0.01923648005448502,0.9958018471872376,0.0008396305625524769,no_interaction,1,False,0.43333333333333335,1.0,0.43333333333333335,False,True,False
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,1,reported_twosides,0.004757323767989874,0.003338475432715635,0.49581294690645394,0,0.4924744714737383,0.02236968811345626,0.9958018471872376,0.0008396305625524769,no_interaction,1,False,0.43333333333333335,1.0,0.43333333333333335,False,True,False
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,1,reported_twosides,0.005186835769563913,0.0036697396316743005,0.49581294690645394,0,0.49214320727477967,0.024241556686541443,0.9949622166246851,0.0008396305625524769,no_interaction,1,False,0.43333333333333335,1.0,0.43333333333333335,False,True,False
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],1,reported_twosides,0.005258010700345039,0.00372489387298705,0.49581294690645394,0,0.4920880530334669,0.024550224807331766,0.9949622166246851,0.0008396305625524769,no_interaction,1,False,0.43333333333333335,1.0,0.43333333333333335,False,True,False
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,1,reported_twosides,0.006628664210438728,0.004800078230734816,0.49581294690645394,0,0.49101286867571914,0.030416747764506466,0.9949622166246851,0.0008396305625524769,no_interaction,1,False,0.43333333333333335,1.0,0.43333333333333335,False,True,False
C1CN(P(=O)(OC1)NCCCl)CCCl,CN(C)NN=C1C(=NC=N1)C(=O)N,1,reported_twosides,0.007234074641019106,0.005282137945459121,0.49581294690645394,0,0.4905308089609948,0.03296465354655563,0.9916036943744753,0.0008396305625524769,no_interaction,1,False,1.0,0.24390243902439024,0.24390243902439024,True,False,True
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,1,reported_twosides,0.007378747686743736,0.005397924246083464,0.49581294690645394,0,0.49041502266037046,0.03356989042956206,0.9916036943744753,0.0008396305625524769,no_interaction,1,False,0.43333333333333335,1.0,0.43333333333333335,False,True,False
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].O.[Gd+3],1,reported_twosides,0.00801460538059473,0.005909373545808484,0.49581294690645394,0,0.48990357336064544,0.036214147553806315,0.9916036943744753,0.0008396305625524769,no_interaction,1,False,0.43333333333333335,1.0,0.43333333333333335,False,True,False
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,COC1=CC=CC=C1OCC(CO)O,1,reported_twosides,0.00811684224754572,0.005991982629432261,0.49581294690645394,0,0.4898209642770217,0.03663696477378054,0.9916036943744753,0.0008396305625524769,no_interaction,1,False,0.43333333333333335,1.0,0.43333333333333335,False,True,False
CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NC(=O)NN3)C4=CC=C(C=C4)F,CN(C)NN=C1C(=NC=N1)C(=O)N,1,reported_twosides,0.00846263486891985,0.006272129347426224,0.49581294690645394,0,0.48954081755902773,0.0380623964427517,0.9907640638119227,0.0008396305625524769,no_interaction,1,False,1.0,0.24390243902439024,0.24390243902439024,True,False,True
CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],CCCN1CC(CC2C1CC3=CNC4=CC=CC2=C34)CSC,1,reported_twosides,0.009003117680549622,0.00671221861654013,0.49581294690645394,0,0.4891007282899138,0.04027641338699332,0.9899244332493703,0.0008396305625524769,no_interaction,1,False,1.0,0.42168674698795183,0.42168674698795183,True,False,False
