source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,1,reported_twosides,0.011137542314827442,0.008474163122423349,0.49581294690645394,0,0.4873387837840306,0.0488661283985804,0.9882451721242653,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C,1,reported_twosides,0.011733375489711761,0.008972232887316148,0.49581294690645394,0,0.4868407140191378,0.051223564196522,0.9882451721242653,0.0016792611251049538,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(CC(=O)O)CN,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N,1,reported_twosides,0.011797516606748104,0.009025999796315564,0.49581294690645394,0,0.48678694711013837,0.051476354186431705,0.9882451721242653,0.0016792611251049538,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N,[N]=O,1,reported_twosides,0.01599808596074581,0.012604042541981915,0.49581294690645394,0,0.483208904364472,0.067651051545528,0.9832073887489504,0.0025188916876574307,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N,[N]=O,1,reported_twosides,0.01774745061993599,0.014123410409628837,0.49581294690645394,0,0.4816895364968251,0.07418782247236266,0.979009235936188,0.0025188916876574307,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C,CC1=C(C(C(=C(N1)C)C(=O)OCC[NH+](C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,1,reported_twosides,0.021661052480340004,0.017574915813758772,0.49581294690645394,0,0.4782380310926952,0.08844476622235592,0.9722921914357683,0.0025188916876574307,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C)(C(C(=O)O)N)S,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,1,reported_twosides,0.02273639105260372,0.01853476596258618,0.49581294690645394,0,0.47727818094386776,0.09228055717314743,0.9714525608732157,0.0025188916876574307,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)NC(=O)COC)I,1,reported_twosides,0.02524285390973091,0.020789426614743766,0.49581294690645394,0,0.4750235202917102,0.10109572293538575,0.9689336691855583,0.0025188916876574307,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NC(=O)NN3)C4=CC=C(C=C4)F,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,1,reported_twosides,0.02722679264843464,0.022590199658452104,0.49581294690645394,0,0.47322274724800184,0.10795535598895914,0.966414777497901,0.0033585222502099076,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-],CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,1,reported_twosides,0.028042906895279884,0.023334866949287113,0.49581294690645394,0,0.47247807995716684,0.11074838324445635,0.966414777497901,0.0033585222502099076,no_interaction,1,False,1.0,1.0,1.0,True,True,False
