source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C.C1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC=C(C=C1)S(=O)(=O)[O-],1,reported_twosides,0.01220039464533329,0.00995189838472355,0.4965154478341322,0,0.48656354944940866,0.05578038462490741,0.9739714525608733,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(OC(C(F)(F)F)C(F)(F)F)F,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,1,reported_twosides,0.017677513882517815,0.014590803641145383,0.4965154478341322,0,0.4819246441929868,0.07616447200107496,0.964735516372796,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C,1,reported_twosides,0.027995390817523003,0.02346064009697373,0.4965154478341322,0,0.47305480773715847,0.11121769827924824,0.947103274559194,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C.C1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC=C(C=C1)S(=O)(=O)[O-],1,reported_twosides,0.0291488915681839,0.02446080113225051,0.4965154478341322,0,0.4720546467018817,0.1149254548094988,0.943744752308984,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(=O)NC1C(C=C(OC1C(C(CO)O)O)C(=O)O)N=C(N)N,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,1,reported_twosides,0.030460000038146973,0.02559945024597371,0.4965154478341322,0,0.4709159975881585,0.11909565770338623,0.943744752308984,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,1,reported_twosides,0.030991286039352417,0.0260613932662353,0.4965154478341322,0,0.4704540545678969,0.12077253201254969,0.9429051217464316,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCCC1=CC(=O)NC(=S)N1,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,1,reported_twosides,0.03306930139660835,0.027871089576264118,0.4965154478341322,0,0.4686443582578681,0.12726214023273769,0.9420654911838791,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CN=C(C=N1)C(=O)N,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],1,reported_twosides,0.033133216202259064,0.027926823265756386,0.4965154478341322,0,0.4685886245683758,0.1274600433541716,0.9412258606213266,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(=O)OC1C(CC2C1(CCC3C2CCC4C3(CC(C(C4)O)N5CCOCC5)C)C)[N+]6(CCCC6)CC=C,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2,1,reported_twosides,0.034328095614910126,0.028969526170349456,0.4965154478341322,0,0.4675459216637827,0.13114168815700122,0.9395465994962217,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(C(NC(=O)C2CCCN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(C4=CC=C(C=C4)O)O)O)C(CCN)O)NCCN)O,1,reported_twosides,0.03494587913155556,0.02950919482390139,0.4965154478341322,0,0.4670062530102308,0.13303191989715696,0.9387069689336692,0.0008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CN=CC=C1C(=O)NN,CC(C)(C(C(=O)O)N)S,1,reported_twosides,0.03659979626536369,0.030955831812045472,0.4965154478341322,0,0.46555961602208673,0.13804919507888344,0.9345088161209067,0.0016792611251049538,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,1,reported_twosides,0.04037479683756828,0.03426740205847441,0.4965154478341322,0,0.4622480457756578,0.149276613595012,0.9269521410579346,0.0025188916876574307,no_interaction,1,False,1.0,1.0,1.0,True,True,False
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,1,reported_twosides,0.04836937412619591,0.041321548233174285,0.4965154478341322,0,0.4551938996009579,0.17212159451857495,0.9143576826196473,0.0033585222502099076,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(=O)([O-])[O-].C(=O)([O-])[O-].C(=O)([O-])[O-].O.[La+3].[La+3],CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,1,reported_twosides,0.04856474697589874,0.041494591569848985,0.4965154478341322,0,0.45502085626428324,0.17266529502250189,0.9135180520570949,0.0033585222502099076,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CNC1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)N,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,1,reported_twosides,0.04879353567957878,0.041697269540779514,0.4965154478341322,0,0.4548181782933527,0.1733011501596358,0.9135180520570949,0.0033585222502099076,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,1,reported_twosides,0.05097295716404915,0.043629989369320936,0.4965154478341322,0,0.45288545846481126,0.17931363547610407,0.90848026868178,0.0033585222502099076,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(C(F)(F)F)(OC(F)F)Cl,CNCC(C1=CC(=C(C=C1)O)O)O,1,reported_twosides,0.051379140466451645,0.04399059472683463,0.4965154478341322,0,0.45252485310729756,0.18042541438541596,0.906801007556675,0.0033585222502099076,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,CC1=C(C(=CC=C1)C)OCC(C)N,1,reported_twosides,0.05355281010270119,0.045922448838727856,0.4965154478341322,0,0.45059299899540434,0.18632942677322767,0.9000839630562553,0.0033585222502099076,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,1,reported_twosides,0.054340820759534836,0.04662365345247381,0.4965154478341322,0,0.4498917943816584,0.18845115077752828,0.8967254408060453,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,[N]=O,1,reported_twosides,0.05436233803629875,0.04664280674367291,0.4965154478341322,0,0.4498726410904593,0.18850894940227914,0.8967254408060453,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(=O)OC1CC2CCC3C(C2(CC1[N+]4(CCCCC4)C)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C,CNCC(C1=CC(=C(C=C1)O)O)O,1,reported_twosides,0.05441642925143242,0.046690956732292,0.4965154478341322,0,0.4498244911018402,0.18865421453257475,0.8967254408060453,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,1,reported_twosides,0.05466785281896591,0.04691479239589909,0.4965154478341322,0,0.44960065543823313,0.18932882792747163,0.8967254408060453,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,1,reported_twosides,0.05484113469719887,0.04706908714342932,0.4965154478341322,0,0.4494463606907029,0.18979320076208006,0.8967254408060453,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-],1,reported_twosides,0.05592614784836769,0.04803570065227727,0.4965154478341322,0,0.44847974718185496,0.1926903542388806,0.8950461796809404,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O,1,reported_twosides,0.05707932636141777,0.04906395702112501,0.4965154478341322,0,0.44745149081300717,0.19574984396045986,0.8942065491183879,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,1,reported_twosides,0.05714813247323036,0.04912533902907202,0.4965154478341322,0,0.4473901088050602,0.1959317596426774,0.8942065491183879,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=C(C(=CC=C1)C)OCC(C)N,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,1,reported_twosides,0.059459708631038666,0.05118940678430751,0.4965154478341322,0,0.4453260410498247,0.20200259813538535,0.890848026868178,0.0041981528127623844,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-],CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,1,reported_twosides,0.06139964237809181,0.05292443882434231,0.4965154478341322,0,0.44359100900978987,0.20703766600156037,0.890848026868178,0.005037783375314861,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCCCCN=C(N)NNC=C1C=NC2=C1C=C(C=C2)CO,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,1,reported_twosides,0.06238933280110359,0.053810565267555115,0.4965154478341322,0,0.4427048825665771,0.20958591790421138,0.8900083963056256,0.005037783375314861,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,1,reported_twosides,0.06266778707504272,0.0540599981018634,0.4965154478341322,0,0.4424554497322688,0.2103004249995279,0.889168765743073,0.005037783375314861,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,1,reported_twosides,0.06273073703050613,0.054116394276498135,0.4965154478341322,0,0.4423990535576341,0.21046180453700203,0.889168765743073,0.005037783375314861,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)Cl)C,S=[Se],1,reported_twosides,0.06335953623056412,0.054679871289377985,0.4965154478341322,0,0.44183557654475425,0.21207081103298725,0.889168765743073,0.005037783375314861,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(CCC(=O)O)CCN,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCC[NH+](CC)CC)I,1,reported_twosides,0.06360571086406708,0.05490054275024517,0.4965154478341322,0,0.441614905083887,0.21269926042702128,0.889168765743073,0.005037783375314861,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CNP(=O)(OC1)N(CCCl)CCCl,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,1,reported_twosides,0.06383110582828522,0.055102621897419074,0.4965154478341322,0,0.44141282593671316,0.21327393752305807,0.889168765743073,0.005037783375314861,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)OP(=O)(O)O)S(=O)(=O)C3=CC=C(C=C3)N,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],1,reported_twosides,0.06442409008741379,0.055634422847617576,0.4965154478341322,0,0.4408810249865146,0.2147825437936491,0.8866498740554156,0.005877413937867338,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CNC1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)N,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,1,reported_twosides,0.06705117225646973,0.057993160283674496,0.4965154478341322,0,0.4385222875504577,0.22140954915624758,0.8832913518052057,0.008396305625524769,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,1,reported_twosides,0.06784385442733765,0.058705731726671435,0.4965154478341322,0,0.4378097161074608,0.22339134613384812,0.8816120906801007,0.009235936188077247,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-],CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,1,reported_twosides,0.07066982984542847,0.06124927927435184,0.4965154478341322,0,0.4352661685597804,0.23039121152837966,0.8757346767422334,0.009235936188077247,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N,CC(=O)OC1CC2CCC3C(C2(CC1N4CCCCC4)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C,1,reported_twosides,0.07116451859474182,0.06169503209689428,0.4965154478341322,0,0.43482041573723795,0.23160621354179847,0.874895046179681,0.009235936188077247,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,1,reported_twosides,0.07280378043651581,0.06317318940265615,0.4965154478341322,0,0.43334225843147606,0.2356108351229735,0.869857262804366,0.009235936188077247,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,CS(=O)(=O)OCCCCOS(=O)(=O)C,1,reported_twosides,0.07342902570962906,0.06373741015323942,0.4965154478341322,0,0.4327780376808928,0.2371296411085089,0.869857262804366,0.009235936188077247,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,1,reported_twosides,0.0751650333404541,0.06530519448848816,0.4965154478341322,0,0.43121025334564406,0.24132203347946318,0.8656591099916037,0.009235936188077247,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,1,reported_twosides,0.07699564844369888,0.06696032725742253,0.4965154478341322,0,0.4295551205767097,0.24570432189959995,0.8639798488664987,0.009235936188077247,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N,1,reported_twosides,0.07758751511573792,0.06749587202567398,0.4965154478341322,0,0.42901957580845823,0.24711284320574872,0.8639798488664987,0.009235936188077247,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CN1P(=S)(N2CC2)N3CC3,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,1,reported_twosides,0.07923373579978943,0.06898649156695959,0.4965154478341322,0,0.42752895626717263,0.2510093905930966,0.8614609571788413,0.009235936188077247,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C#CCNC1CCC2=CC=CC=C12,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,1,reported_twosides,0.08012156188488007,0.06979103768581311,0.4965154478341322,0,0.4267244101483191,0.25309809065063255,0.8589420654911839,0.009235936188077247,no_interaction,1,False,1.0,1.0,1.0,True,True,False
