source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
CN1C(=C(NC2=CC=CC=N2)O)C(=O)C3=CC=CC=C3S1(=O)=O,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],0,unreported_twosides_sampled,0.9940242171287537,0.9967626277282533,0.49581294690645394,1,0.5009496808217994,0.021791959879300618,0.0008396305625524769,0.9958018471872376,interaction,1,False,0.62,0.25925925925925924,0.25925925925925924,False,False,True
C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],0,unreported_twosides_sampled,0.9936920404434204,0.9965648841933057,0.49581294690645394,1,0.5007519372868517,0.022919041520873748,0.0008396305625524769,0.9958018471872376,interaction,1,False,0.5256410256410257,0.25925925925925924,0.25925925925925924,False,False,True
CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)C(C)O,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,0,unreported_twosides_sampled,0.9918968081474304,0.995479399965001,0.49581294690645394,1,0.49966645305854707,0.02891758599967056,0.0008396305625524769,0.9949622166246851,interaction,1,False,0.23529411764705882,0.7230769230769231,0.23529411764705882,False,False,True
CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,0,unreported_twosides_sampled,0.9902172684669495,0.9944416026768187,0.49581294690645394,1,0.49862865577036475,0.034404595696204965,0.0008396305625524769,0.9916036943744753,interaction,1,False,0.25925925925925924,0.3018867924528302,0.25925925925925924,False,False,True
CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,0,unreported_twosides_sampled,0.9870442748069763,0.992432923186318,0.49581294690645394,1,0.4966199762798641,0.04449558699840146,0.0008396305625524769,0.9882451721242653,interaction,1,False,0.25925925925925924,0.24050632911392406,0.24050632911392406,False,False,True
C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt],CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],0,unreported_twosides_sampled,0.9819730520248413,0.9891180844912355,0.49581294690645394,1,0.49330513758478156,0.06001585546320032,0.0016792611251049538,0.9874055415617129,interaction,1,False,0.26666666666666666,0.25925925925925924,0.25925925925925924,False,False,True
CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-],C[N+](C)(C)CC(CC(=O)O)O,0,unreported_twosides_sampled,0.9793947339057922,0.9873920901855825,0.49581294690645394,1,0.49157914327912855,0.06766791632683819,0.0025188916876574307,0.9832073887489504,interaction,1,False,0.4574468085106383,0.36666666666666664,0.36666666666666664,False,False,True
CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],0,unreported_twosides_sampled,0.9786518216133118,0.9868902670819046,0.49581294690645394,1,0.4910773201754507,0.06984625336925736,0.0025188916876574307,0.982367758186398,interaction,1,False,0.7230769230769231,0.25925925925925924,0.25925925925925924,False,False,True
CC1=C(SC=C1)C(=CCCN2CCCC(C2)C(=O)O)C3=C(C=CS3)C,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],0,unreported_twosides_sampled,0.9777676463127136,0.9862905358247803,0.49581294690645394,1,0.4904775889183264,0.07242411873774965,0.0025188916876574307,0.9815281276238456,interaction,1,False,0.26865671641791045,0.25925925925925924,0.25925925925925924,False,False,True
CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-],CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],0,unreported_twosides_sampled,0.97655189037323,0.985461623713949,0.49581294690645394,1,0.489648676807495,0.07594351739084847,0.0025188916876574307,0.9781696053736356,interaction,1,False,0.4574468085106383,0.25925925925925924,0.25925925925925924,False,False,True
C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,0,unreported_twosides_sampled,0.969074010848999,0.9802644361443404,0.49581294690645394,1,0.4844514892378865,0.09700818373424683,0.0025188916876574307,0.9706129303106633,interaction,1,False,0.5256410256410257,0.7230769230769231,0.5256410256410257,False,False,False
CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,0,unreported_twosides_sampled,0.9686964154243469,0.9799978628928868,0.49581294690645394,1,0.4841849159864329,0.09804743040006748,0.0025188916876574307,0.9706129303106633,interaction,1,False,0.4533333333333333,0.375,0.375,False,False,True
CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-],CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)C(C)O,0,unreported_twosides_sampled,0.9679029583930969,0.9794364954344053,0.49581294690645394,1,0.4836235485279513,0.10022414483422398,0.0025188916876574307,0.9689336691855583,interaction,1,False,0.4574468085106383,0.23529411764705882,0.23529411764705882,False,False,True
