dataset_row_index,source,target,label,source_graph_status,target_graph_status
40,C1CCC(CC1)(CC(=O)O)CN,[Li+].[AlH4-],1.0,graph_compatible,counterion_or_inorganic_only_structure
75,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,[Ca+2],1.0,graph_compatible,counterion_or_inorganic_only_structure
115,CC(=O)CC(C1=CC=CC=C1)C2=C(OC3=CC=CC=C3C2=O)O,[Na+].[Cl-],1.0,graph_compatible,counterion_or_inorganic_only_structure
153,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,[Na+].[Cl-],1.0,graph_compatible,counterion_or_inorganic_only_structure
176,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,[Na+].[Cl-],1.0,graph_compatible,counterion_or_inorganic_only_structure
238,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,[Ca+2],1.0,graph_compatible,counterion_or_inorganic_only_structure
256,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,[Na+].[Cl-],1.0,graph_compatible,counterion_or_inorganic_only_structure
277,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,[Na+].[Cl-],1.0,graph_compatible,counterion_or_inorganic_only_structure
429,C1C(=NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-],[Na+].[Cl-],1.0,graph_compatible,counterion_or_inorganic_only_structure
453,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl,[Na+].[Cl-],1.0,graph_compatible,counterion_or_inorganic_only_structure
527,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,[Ca+2],1.0,graph_compatible,counterion_or_inorganic_only_structure
541,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,[Li+].[AlH4-],1.0,graph_compatible,counterion_or_inorganic_only_structure
648,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,[Ca+2],1.0,graph_compatible,counterion_or_inorganic_only_structure
665,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,[Cl-].[K+],1.0,graph_compatible,counterion_or_inorganic_only_structure
692,CN1C(=NC(=O)C(=N1)[O-])SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-],[Na+].[Cl-],1.0,graph_compatible,counterion_or_inorganic_only_structure
739,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,[Ca+2],1.0,graph_compatible,counterion_or_inorganic_only_structure
743,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,[Ca+2],1.0,graph_compatible,counterion_or_inorganic_only_structure
749,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,[Na+].[Cl-],1.0,graph_compatible,counterion_or_inorganic_only_structure
