source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
C1=NC2=C(N1)C(=S)N=CN2,CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].O.[Gd+3],1,reported_twosides,0.009730087593197823,0.009275545527410927,0.5027927669387054,0,0.4935172214112945,0.05264541480959574,0.9940577249575552,0.0008488964346349745,no_interaction,1,False,0.3142857142857143,0.5675675675675675,0.3142857142857143,False,False,True
C1=CN=CC=C1C(=O)NN,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,1,reported_twosides,0.014119080267846584,0.013437338833986538,0.5027927669387054,0,0.48935542810471894,0.07125779127893209,0.9906621392190152,0.0008488964346349745,no_interaction,1,False,0.30303030303030304,0.2647058823529412,0.2647058823529412,False,False,True
C1=CN=CC=C1C(=O)NN,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,1,reported_twosides,0.017170576378703117,0.016327991404645976,0.5027927669387054,0,0.4864647755340595,0.08338159176122745,0.9864176570458404,0.0008488964346349745,no_interaction,1,False,0.30303030303030304,0.5454545454545454,0.30303030303030304,False,False,True
C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,1,reported_twosides,0.018906911835074425,0.017972036475655134,0.5027927669387054,0,0.4848207304630503,0.09003806813218701,0.9838709677419355,0.0008488964346349745,no_interaction,1,False,0.5454545454545454,0.30612244897959184,0.30612244897959184,False,False,True
CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C,CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].O.[Gd+3],1,reported_twosides,0.0209888257086277,0.019942699258039372,0.5027927669387054,0,0.4828500676806661,0.0978160252510343,0.9804753820033956,0.0008488964346349745,no_interaction,1,False,0.6326530612244898,0.5675675675675675,0.5675675675675675,False,False,False
C1=CN=CC=C1C(=O)NN,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,1,reported_twosides,0.02309751883149147,0.02193815947037595,0.5027927669387054,0,0.4808546074683295,0.10548914690043526,0.9728353140916808,0.0008488964346349745,no_interaction,1,False,0.30303030303030304,0.24050632911392406,0.24050632911392406,False,False,True
CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F,CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].O.[Gd+3],1,reported_twosides,0.023753713816404343,0.022559020355242248,0.5027927669387054,0,0.4802337465834632,0.10783786937447587,0.9719864176570459,0.0008488964346349745,no_interaction,1,False,0.24285714285714285,0.5675675675675675,0.24285714285714285,False,False,True
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)Cl)C,CCCCCN=C(N)NNC=C1C=NC2=C1C=C(C=C2)CO,1,reported_twosides,0.027286050841212273,0.025900492184855614,0.5027927669387054,0,0.4768922747538498,0.12018941536422885,0.965195246179966,0.0008488964346349745,no_interaction,1,False,0.8620689655172413,0.25,0.25,False,False,True
C1=CN=CC=C1C(=O)NN,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,1,reported_twosides,0.027541078627109528,0.0261417023357598,0.5027927669387054,0,0.47665106460294565,0.12106319565732607,0.9626485568760611,0.0008488964346349745,no_interaction,1,False,0.30303030303030304,0.28846153846153844,0.28846153846153844,False,False,True
C1=CN=CC=C1C(=O)NN,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,1,reported_twosides,0.029875032603740692,0.028349007650511543,0.5027927669387054,0,0.47444375928819393,0.12895546490398319,0.9584040747028862,0.0008488964346349745,no_interaction,1,False,0.30303030303030304,0.30612244897959184,0.30303030303030304,False,False,True
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,C1=CN=CC=C1C(=O)NN,1,reported_twosides,0.03030872717499733,0.02875913374298295,0.5027927669387054,0,0.4740336331957225,0.13040197745502452,0.9575551782682513,0.0008488964346349745,no_interaction,1,False,0.4,0.30303030303030304,0.30303030303030304,False,False,True
CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],1,reported_twosides,0.03137791156768799,0.029770174322435825,0.5027927669387054,0,0.4730225926162696,0.133942361631142,0.9575551782682513,0.0008488964346349745,no_interaction,1,False,0.6326530612244898,0.7083333333333334,0.6326530612244898,False,False,False
C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],1,reported_twosides,0.03712168708443642,0.03520083698184251,0.5027927669387054,0,0.46759192995686294,0.1523800151075295,0.9482173174872666,0.0008488964346349745,no_interaction,1,False,0.24050632911392406,0.7083333333333334,0.24050632911392406,False,False,True
C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2,1,reported_twosides,0.03740967437624931,0.035473100451531576,0.5027927669387054,0,0.4673196664871739,0.15328035000654855,0.9473684210526315,0.0008488964346349745,no_interaction,1,False,0.5454545454545454,0.30612244897959184,0.30612244897959184,False,False,True
CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].O.[Gd+3],1,reported_twosides,0.03806126117706299,0.03608910524439023,0.5027927669387054,0,0.4667036616943152,0.15530941482978405,0.9465195246179966,0.0008488964346349745,no_interaction,1,False,0.9487179487179487,0.5675675675675675,0.5675675675675675,False,False,False
C1=CN=CC=C1C(=O)NN,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2,1,reported_twosides,0.03958136588335037,0.03752617205439551,0.5027927669387054,0,0.46526659488430994,0.16000087919913228,0.9456706281833617,0.0008488964346349745,no_interaction,1,False,0.30303030303030304,0.30612244897959184,0.30303030303030304,False,False,True
