source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,CCC1(CC(=O)NC1=O)C,0,unreported_twosides_sampled,0.995197594165802,0.9947057305066993,0.5027927669387054,1,0.49191296356799386,0.033028186154895466,0.0008488964346349745,0.9966044142614601,interaction,1,False,1.0,1.0,1.0,True,True,False
C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0,unreported_twosides_sampled,0.9732773900032043,0.9708533641179745,0.5027927669387054,1,0.46806059717926907,0.13176316110115077,0.0008488964346349745,0.9575551782682513,interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=C(C(C(=C(N1)C)C(=O)OCC[NH+](C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,0,unreported_twosides_sampled,0.9716131687164307,0.969052283964649,0.5027927669387054,1,0.4662595170259436,0.1380212452848165,0.0008488964346349745,0.9541595925297114,interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,0,unreported_twosides_sampled,0.9710936546325684,0.9684902669248957,0.5027927669387054,1,0.46569749998619026,0.1399516072871162,0.0008488964346349745,0.9533106960950763,interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,0,unreported_twosides_sampled,0.9703922271728516,0.9677316165668122,0.5027927669387054,1,0.4649388496281067,0.1425409623611401,0.0008488964346349745,0.9524617996604414,interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,0,unreported_twosides_sampled,0.9694498777389526,0.9667126805306461,0.5027927669387054,1,0.4639199135919406,0.1459897708473803,0.0008488964346349745,0.9507640067911715,interaction,1,False,1.0,1.0,1.0,True,True,False
C(=O)(O)[O-].[Na+],COC1C(C(C(C(O1)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)COS(=O)(=O)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C(C(O5)COS(=O)(=O)O)O)O)NS(=O)(=O)O)O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O)NS(=O)(=O)O,0,unreported_twosides_sampled,0.9665324687957764,0.9635602284422593,0.5027927669387054,1,0.46076746150355385,0.15645959445726473,0.0008488964346349745,0.9465195246179966,interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CC(=CC=C1CCC2=CNC3=C2C(=O)N=C(N3)N)C(=O)NC(CCC(=O)O)C(=O)O,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CC[NH+](C)C)C3=CC=C(C=C3)OC,0,unreported_twosides_sampled,0.9636526703834534,0.9604513660109193,0.5027927669387054,1,0.45765859907221385,0.1665070198866144,0.001697792869269949,0.9414261460101867,interaction,1,False,1.0,1.0,1.0,True,True,False
CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CC[NH+](C)C)C3=CC=C(C=C3)OC,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,0,unreported_twosides_sampled,0.9626680016517639,0.9593890255045469,0.5027927669387054,1,0.4565962585658414,0.16988102056127713,0.001697792869269949,0.9397283531409168,interaction,1,False,1.0,1.0,1.0,True,True,False
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0,unreported_twosides_sampled,0.9624140858650208,0.9591151333236696,0.5027927669387054,1,0.45632236638496415,0.1707461777522511,0.001697792869269949,0.9388794567062818,interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,0,unreported_twosides_sampled,0.9614469408988953,0.9580720961505965,0.5027927669387054,1,0.45527932921189107,0.17402346158314577,0.001697792869269949,0.9388794567062818,interaction,1,False,1.0,1.0,1.0,True,True,False
CCC1(CC(=O)NC1=O)C,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,0,unreported_twosides_sampled,0.9601541757583618,0.9566783678344469,0.5027927669387054,1,0.4538856008957415,0.1783604714564703,0.001697792869269949,0.9354838709677419,interaction,1,False,1.0,1.0,1.0,True,True,False
C1=NC2=C(N1COCCO)NC(=NC2=O)N,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,0,unreported_twosides_sampled,0.9590732455253601,0.955513434872389,0.5027927669387054,1,0.4527206679336836,0.18194948990928078,0.001697792869269949,0.934634974533107,interaction,1,False,1.0,1.0,1.0,True,True,False
C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CC[NH+](C)C)C3=CC=C(C=C3)OC,0,unreported_twosides_sampled,0.9590404629707336,0.9554781105454352,0.5027927669387054,1,0.45268534360672974,0.18205781712179733,0.001697792869269949,0.934634974533107,interaction,1,False,1.0,1.0,1.0,True,True,False
