source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3,1,reported_twosides,0.009982760064303875,0.015189304801510303,0.5104907112694607,0,0.49530140646795034,0.07867346492098257,0.7904040404040404,0.0008417508417508417,no_interaction,1,False,0.8545454545454545,0.5272727272727272,0.5272727272727272,False,False,False
C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,1,reported_twosides,0.012965576723217964,0.019284473611959285,0.5104907112694607,0,0.4912062376575014,0.09524119712934861,0.7702020202020202,0.0008417508417508417,no_interaction,1,False,0.2549019607843137,0.25925925925925924,0.2549019607843137,False,False,True
CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,1,reported_twosides,0.014752359129488468,0.021694819713475068,0.5104907112694607,0,0.4887958915559856,0.10456371695103528,0.7575757575757576,0.0008417508417508417,no_interaction,1,False,0.25925925925925924,0.6515151515151515,0.25925925925925924,False,False,True
CCCC(CCC)C(=O)O,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,1,reported_twosides,0.014845304191112518,0.02181942991023254,0.5104907112694607,0,0.4886712813592281,0.1050379606886243,0.7575757575757576,0.0008417508417508417,no_interaction,1,False,0.27586206896551724,0.3387096774193548,0.27586206896551724,False,False,True
CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,1,reported_twosides,0.018743006512522697,0.026984434572832762,0.5104907112694607,0,0.4835062766966279,0.12409817201233819,0.7449494949494949,0.0008417508417508417,no_interaction,1,False,0.35714285714285715,0.6515151515151515,0.35714285714285715,False,False,True
CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,1,reported_twosides,0.01912233605980873,0.027481303632056024,0.5104907112694607,0,0.48300940763740463,0.1258748435590383,0.7432659932659933,0.0008417508417508417,no_interaction,1,False,0.25925925925925924,0.6111111111111112,0.25925925925925924,False,False,True
C=CC1=C(N2C(C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O,CCCC(CCC)C(=O)O,1,reported_twosides,0.022602975368499756,0.03199864399619623,0.5104907112694607,0,0.47849206727326443,0.14162244628934356,0.7272727272727273,0.0008417508417508417,no_interaction,1,False,0.7941176470588235,0.27586206896551724,0.27586206896551724,False,False,True
CCCC(CCC)C(=O)O,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,1,reported_twosides,0.0239328071475029,0.03370620599708492,0.5104907112694607,0,0.47678450527237576,0.14739816887367585,0.7205387205387206,0.0025252525252525255,no_interaction,1,False,0.27586206896551724,0.4492753623188406,0.27586206896551724,False,False,True
CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,1,reported_twosides,0.026831766590476036,0.03739709608600138,0.5104907112694607,0,0.47309361518345927,0.15958186542001143,0.7070707070707071,0.0025252525252525255,no_interaction,1,False,0.35714285714285715,0.2549019607843137,0.2549019607843137,False,False,True
CCCC(CCC)C(=O)O,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3,1,reported_twosides,0.027615247294306755,0.038387661649535734,0.5104907112694607,0,0.47210304961992494,0.16278575537556256,0.7003367003367004,0.0025252525252525255,no_interaction,1,False,0.27586206896551724,0.5272727272727272,0.27586206896551724,False,False,True
