source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
CC(C)C(C(=O)OCCOCN1C=NC2=C1NC(=NC2=O)N)N,CCCCCCCCCCCCCCCCCCCCCCO,1,reported_twosides,8.44741371111013e-05,0.00032096379248624894,0.46048614677116206,0,0.4601651829786758,0.002902803516395258,0.9903076274757691,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=NC2=C(N1COCCO)NC(=NC2=O)N,CCCCCCCCCCCCCCCCCCCCCCO,1,reported_twosides,0.0003334529174026102,0.0010600081046981524,0.46048614677116206,0,0.4594261386664639,0.008319949058894736,0.978086809945217,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,1,reported_twosides,0.0005979970446787775,0.0017616333245277984,0.46048614677116206,0,0.4587245134466343,0.012931502906700715,0.965865992414665,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(C(F)(F)F)(OC(F)F)Cl,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C.C1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC=C(C=C1)S(=O)(=O)[O-],1,reported_twosides,0.0007145059062168002,0.002056486063091942,0.46048614677116206,0,0.4584296607080701,0.014777348659916915,0.9603876949009692,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N,CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,1,reported_twosides,0.0015454435488209128,0.004020118721230723,0.46048614677116206,0,0.45646602804993136,0.026188786366175186,0.93173198482933,0.0008428150021070375,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,1,reported_twosides,0.001641546841710806,0.004236311029454141,0.46048614677116206,0,0.4562498357417079,0.027374793098121068,0.9279393173198482,0.0008428150021070375,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,[N]=O,1,reported_twosides,0.0017766122473403811,0.0045373222700705275,0.46048614677116206,0,0.45594882450109153,0.029007764398275165,0.9241466498103666,0.0012642225031605564,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C=C1C(CC(C1CO)O)N2C=NC3=C2NC(=NC3=O)N,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C,1,reported_twosides,0.0020764137152582407,0.005194892914800824,0.46048614677116206,0,0.45529125385636127,0.032506924551470626,0.9131900547829751,0.0012642225031605564,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(=O)NC1C(C=C(OC1C(C(CO)O)O)C(=O)O)N=C(N)N,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,1,reported_twosides,0.003334567416459322,0.0078339565182178,0.46048614677116206,0,0.4526521902529443,0.04579229879292736,0.8735777496839444,0.0012642225031605564,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C.C1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC=C(C=C1)S(=O)(=O)[O-],1,reported_twosides,0.003907287027686834,0.00898698611197532,0.46048614677116206,0,0.4514991606591867,0.051292960102295775,0.8588284871470713,0.0012642225031605564,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C#CCNC1CCC2=CC=CC=C12,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],1,reported_twosides,0.005487785674631596,0.01205818910244154,0.46048614677116206,0,0.4484279576687205,0.06525841034084402,0.8297513695743785,0.0012642225031605564,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(C1C(C(C(C(O1)O)O)O)O)O,C[N+](C)(C)CC(CC(=O)O)O,1,reported_twosides,0.005972502753138542,0.012973649437940504,0.46048614677116206,0,0.44751249733322157,0.06925749076510147,0.8255372945638433,0.001685630004214075,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CC(=CC=C1C(=O)NCCC(=O)O)NN=C2C=CC(=O)C(=C2)C(=O)O,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,1,reported_twosides,0.006986059248447418,0.014855192373317682,0.46048614677116206,0,0.4456309543978444,0.07727583677711451,0.809945217024863,0.001685630004214075,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,1,reported_twosides,0.007183227688074112,0.015216539902517355,0.46048614677116206,0,0.4452696068686447,0.07878706111301113,0.8086809945217025,0.001685630004214075,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,1,reported_twosides,0.00762545270845294,0.016021923170674524,0.46048614677116206,0,0.44446422360048754,0.08212426382497036,0.8027812895069533,0.001685630004214075,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(C(F)(F)F)(OC(F)F)F,CC(=O)OC1CC2CCC3C(C2(CC1N4CCCCC4)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C,1,reported_twosides,0.008750329725444317,0.01804140492997661,0.46048614677116206,0,0.44244474184118543,0.09031546148359239,0.7901390644753477,0.002107037505267594,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5,1,reported_twosides,0.008967019617557526,0.018425983041242613,0.46048614677116206,0,0.44206016372991946,0.09184842853594824,0.7892962494732406,0.002107037505267594,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(C(F)(F)F)(OC(F)F)Cl,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C,1,reported_twosides,0.00910158734768629,0.018664132771691794,0.46048614677116206,0,0.4418220139994703,0.09279360662662066,0.787189211967973,0.002107037505267594,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,CCCC1(CC(=O)C(=C(O1)O)C(CC)C2=CC(=CC=C2)NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)CCC4=CC=CC=C4,1,reported_twosides,0.009774480015039444,0.019847474134255454,0.46048614677116206,0,0.4406386726369066,0.09744491506294756,0.7808680994521703,0.002107037505267594,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F,C[N+](C)(C)CC(CC(=O)O)O,1,reported_twosides,0.009955956600606441,0.020164553940198678,0.46048614677116206,0,0.4403215928309634,0.09867883872725094,0.7791824694479562,0.002107037505267594,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=NC2=C(N1)C(=S)N=CN2,C1=NC2C(=N1)NC(=NC2=S)N,1,reported_twosides,0.01004995871335268,0.02032846373204423,0.46048614677116206,0,0.44015768303911784,0.09931469748297878,0.7783396544458492,0.002107037505267594,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(CC(=O)O)CN,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-],1,reported_twosides,0.010187413543462753,0.020567738415127487,0.46048614677116206,0,0.4399184083560346,0.10024050169552998,0.7783396544458492,0.002107037505267594,no_interaction,1,False,1.0,1.0,1.0,True,True,False
