source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
C1=CC(=CN=C1)C(=O)[O-],CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,0,unreported_twosides_sampled,0.9990131855010986,0.9978587234787859,0.46048614677116206,1,0.5373725767076238,0.015300023982974555,0.00042140750105351877,0.9578592498946481,interaction,1,False,1.0,1.0,1.0,True,True,False
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,C1CN1P(=S)(N2CC2)N3CC3,0,unreported_twosides_sampled,0.997443675994873,0.9951032482835224,0.46048614677116206,1,0.5346171015123603,0.03093146251797871,0.0012642225031605564,0.9174041297935103,interaction,1,False,1.0,1.0,1.0,True,True,False
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,CC(=O)NCCCS(=O)(=O)O,0,unreported_twosides_sampled,0.9974148273468018,0.995055293285348,0.46048614677116206,1,0.534569146514186,0.031186073328713215,0.0012642225031605564,0.9157184997892962,interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,[O-]S(=O)(=O)[O-],0,unreported_twosides_sampled,0.9962965846061707,0.993244343157401,0.46048614677116206,1,0.5327581963862389,0.040493336947639874,0.0012642225031605564,0.8883270122208176,interaction,1,False,1.0,1.0,1.0,True,True,False
C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,0,unreported_twosides_sampled,0.9962201714515686,0.9931235437895889,0.46048614677116206,1,0.5326373970184268,0.04109511686358164,0.0012642225031605564,0.8874841972187105,interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C)OC(=O)OCOP(=O)(COC(C)CN1C=NC2=C(N=CN=C21)N)OCOC(=O)OC(C)C,[O-]S(=O)(=O)[O-],0,unreported_twosides_sampled,0.9955283999443054,0.9920440420369361,0.46048614677116206,1,0.531557895265774,0.04638200677129471,0.0012642225031605564,0.8714707121786768,interaction,1,False,1.0,1.0,1.0,True,True,False
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,0,unreported_twosides_sampled,0.9953470826148987,0.9917649580720718,0.46048614677116206,1,0.5312788113009097,0.04772394517937399,0.0012642225031605564,0.8680994521702486,interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,C1CCNC(C1)C[NH2+]C(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,0,unreported_twosides_sampled,0.9939239621162415,0.9896210840256925,0.46048614677116206,1,0.5291349372545304,0.0577355362742147,0.0012642225031605564,0.8419721871049305,interaction,1,False,1.0,1.0,1.0,True,True,False
CNC(=C[N+](=O)[O-])NCCSCC1=CSC(=N1)CN(C)C,CS(=O)(=O)OCCCCOS(=O)(=O)C,0,unreported_twosides_sampled,0.993357241153717,0.9887872094556043,0.46048614677116206,1,0.5283010626844422,0.06150297098515893,0.0012642225031605564,0.8348082595870207,interaction,1,False,1.0,1.0,1.0,True,True,False
CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl,0,unreported_twosides_sampled,0.991815984249115,0.9865659888090081,0.46048614677116206,1,0.5260798420378461,0.07124349467626127,0.001685630004214075,0.821323219553308,interaction,1,False,1.0,1.0,1.0,True,True,False
