source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,CN(C)C(=N)N=C(N)N,1,reported_twosides,6.378666876116768e-05,5.446696701296698e-05,0.4726691981220018,0,0.47261473115498887,0.0005892175987338655,0.9995785924989464,0.00042140750105351877,no_interaction,1,False,0.3877551020408163,0.1891891891891892,0.1891891891891892,False,False,True
CN(C)C(=N)N=C(N)N,S=[Se],1,reported_twosides,6.901408778503537e-05,5.896545208570712e-05,0.4726691981220018,0,0.4726102326699161,0.000633202238455624,0.9995785924989464,0.00042140750105351877,no_interaction,1,False,0.1891891891891892,0.07692307692307693,0.07692307692307693,False,False,True
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,S=[Se],1,reported_twosides,0.00012709610746242106,0.00010908939864045212,0.4726691981220018,0,0.47256010872336135,0.0011043434322776594,0.9995785924989464,0.00042140750105351877,no_interaction,1,False,0.3137254901960784,0.07692307692307693,0.07692307692307693,False,False,True
CCCC(CCC)C(=O)O,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.00015841401182115078,0.0001361954168414757,0.4726691981220018,0,0.47253300270516035,0.0013485187240128756,0.9995785924989464,0.00042140750105351877,no_interaction,1,False,0.27586206896551724,0.1891891891891892,0.1891891891891892,False,False,True
CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,S=[Se],1,reported_twosides,0.00017979556287173182,0.00015472522241057995,0.4726691981220018,0,0.47251447289959125,0.0015122506566044318,0.9987357774968394,0.00042140750105351877,no_interaction,1,False,0.8,0.07692307692307693,0.07692307692307693,False,False,True
C(N)(N)(Cl)Cl,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.0001902327494462952,0.00016377652879135613,0.4726691981220018,0,0.47250542159321046,0.0015914043773838271,0.9987357774968394,0.00042140750105351877,no_interaction,1,False,0.13333333333333333,0.1891891891891892,0.13333333333333333,False,False,True
CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.00019116517796646804,0.00016458533212672662,0.4726691981220018,0,0.4725046127898751,0.0015984525956350825,0.9987357774968394,0.00042140750105351877,no_interaction,1,False,0.2413793103448276,0.1891891891891892,0.1891891891891892,False,False,True
C(N)(N)(Cl)Cl,CCCC(CCC)C(=O)O,1,reported_twosides,0.00020235082774888724,0.0001742902229981119,0.4726691981220018,0,0.4724949078990037,0.0016827200860932315,0.9987357774968394,0.00042140750105351877,no_interaction,1,False,0.13333333333333333,0.27586206896551724,0.13333333333333333,False,False,True
CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.00020862136443611234,0.0001797324507490432,0.4726691981220018,0,0.4724894656712528,0.0017297363577038817,0.9987357774968394,0.00042140750105351877,no_interaction,1,False,0.25,0.1891891891891892,0.1891891891891892,False,False,True
CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,1,reported_twosides,0.0002104467712342739,0.00018131696345965643,0.4726691981220018,0,0.4724878811585422,0.0017433940104695082,0.9983143699957859,0.00042140750105351877,no_interaction,1,False,0.9487179487179487,0.3877551020408163,0.3877551020408163,False,False,True
CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,1,reported_twosides,0.0002831905148923397,0.0002445373535557216,0.4726691981220018,0,0.4724246607684461,0.002278114927041194,0.9970501474926253,0.00042140750105351877,no_interaction,1,False,0.2413793103448276,0.3877551020408163,0.2413793103448276,False,False,True
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,1,reported_twosides,0.0002836266066879034,0.0002449167604697857,0.4726691981220018,0,0.47242428136153203,0.002281269741957651,0.9970501474926253,0.00042140750105351877,no_interaction,1,False,0.3137254901960784,0.3877551020408163,0.3137254901960784,False,False,True
CC1=NC=C(N1CCO)[N+](=O)[O-],CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,1,reported_twosides,0.00029608156182803214,0.0002557546110901743,0.4726691981220018,0,0.47241344351091163,0.0023711430033799825,0.9970501474926253,0.00042140750105351877,no_interaction,1,False,0.21153846153846154,0.3877551020408163,0.21153846153846154,False,False,True
C(N)(N)(Cl)Cl,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,1,reported_twosides,0.00033131177769973874,0.0002864289212558095,0.4726691981220018,0,0.472382769200746,0.0026230808065594094,0.9962073324905183,0.00042140750105351877,no_interaction,1,False,0.13333333333333333,0.3877551020408163,0.13333333333333333,False,False,True
C(OC(C(F)(F)F)C(F)(F)F)F,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,1,reported_twosides,0.00036622435436584055,0.00031685112136585524,0.4726691981220018,0,0.47235234700063594,0.002869695290059032,0.9962073324905183,0.00042140750105351877,no_interaction,1,False,0.2608695652173913,0.3877551020408163,0.2608695652173913,False,False,True
CCCNC1CCC2=C(C1)SC(=N2)N,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.0003680952067952603,0.0003184819897434416,0.4726691981220018,0,0.4723507161322584,0.00288283061656717,0.9962073324905183,0.00042140750105351877,no_interaction,1,False,0.19047619047619047,0.1891891891891892,0.1891891891891892,False,False,True
CN(C)C(=N)N=C(N)N,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],1,reported_twosides,0.0003894154215231538,0.00033707171735916267,0.4726691981220018,0,0.47233212640464267,0.0030319756987742252,0.9962073324905183,0.00042140750105351877,no_interaction,1,False,0.1891891891891892,0.25925925925925924,0.1891891891891892,False,False,True
CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,1,reported_twosides,0.0004112152964808047,0.00035608766954596093,0.4726691981220018,0,0.47231311045245583,0.003183479147945332,0.9953645174884113,0.00042140750105351877,no_interaction,1,False,0.30434782608695654,0.3877551020408163,0.30434782608695654,False,False,True
C(OC(C(F)(F)F)C(F)(F)F)F,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.0004710268403869122,0.00040829932675539996,0.4726691981220018,0,0.4722608987952464,0.003594383844053111,0.9945217024863042,0.00042140750105351877,no_interaction,1,False,0.2608695652173913,0.1891891891891892,0.1891891891891892,False,False,True
CC(CC1=CC=CC=C1)N(C)CC#C,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.0005594671820290387,0.0004855932143382956,0.4726691981220018,0,0.47218360490766353,0.004190619159557121,0.9941002949852508,0.00042140750105351877,no_interaction,1,False,0.42424242424242425,0.1891891891891892,0.1891891891891892,False,False,True
CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.0006049486109986901,0.000525379835393224,0.4726691981220018,0,0.47214381828660856,0.0044925893410808415,0.9936788874841972,0.00042140750105351877,no_interaction,1,False,0.23595505617977527,0.1891891891891892,0.1891891891891892,False,False,True
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.0006190779386088252,0.000537744746011766,0.4726691981220018,0,0.47213145337599005,0.004585810640431618,0.9936788874841972,0.00042140750105351877,no_interaction,1,False,0.23333333333333334,0.1891891891891892,0.1891891891891892,False,False,True
CCCC(CCC)C(=O)O,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,1,reported_twosides,0.0006577805615961552,0.0005716252531204125,0.4726691981220018,0,0.4720975728688814,0.004839803005000809,0.9928360724820902,0.00042140750105351877,no_interaction,1,False,0.27586206896551724,0.3877551020408163,0.27586206896551724,False,False,True
C1=CC=C(C=C1)CCNN,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.0006647012778557837,0.0005776853253010619,0.4726691981220018,0,0.47209151279670075,0.004885018233796924,0.9928360724820902,0.00042140750105351877,no_interaction,1,False,0.35714285714285715,0.1891891891891892,0.1891891891891892,False,False,True
CN(C)C(=N)N=C(N)N,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,1,reported_twosides,0.0008229013183154166,0.0007163351172318591,0.4726691981220018,0,0.47195286300476996,0.005903320714415896,0.9911504424778761,0.00042140750105351877,no_interaction,1,False,0.1891891891891892,0.7631578947368421,0.1891891891891892,False,False,True
CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.0008322626235894859,0.0007245464123450375,0.4726691981220018,0,0.47194465170965677,0.005962728876785262,0.9911504424778761,0.00042140750105351877,no_interaction,1,False,0.625,0.1891891891891892,0.1891891891891892,False,False,True
CC1=NC=C(N1CCO)[N+](=O)[O-],CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,1,reported_twosides,0.0008929179748520255,0.0007777673327047309,0.4726691981220018,0,0.4718914307892971,0.00634556578911568,0.9898862199747156,0.00042140750105351877,no_interaction,1,False,0.21153846153846154,0.8604651162790697,0.21153846153846154,False,False,True
