source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
CC(C)C(C(=O)OCCOCN1C=NC2=C1NC(=NC2=O)N)N,CCCCCCCCCCCCCCCCCCCCCCO,1,reported_twosides,0.0010865653166547418,0.0009478584374011491,0.4726691981220018,0,0.47172133968460067,0.007545741131092423,0.9890434049726086,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,1,reported_twosides,0.0031860480085015297,0.002802551958835956,0.4726691981220018,0,0.46986664616316587,0.01926984918863206,0.9785082174462706,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=NC2=C(N1COCCO)NC(=NC2=O)N,CCCCCCCCCCCCCCCCCCCCCCO,1,reported_twosides,0.003630502847954631,0.0031968070731431967,0.4726691981220018,0,0.46947239104885863,0.02155927536455521,0.976401179941003,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(=O)NC1C(C=C(OC1C(C(CO)O)O)C(=O)O)N=C(N)N,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,1,reported_twosides,0.003668242134153843,0.003230303045863609,0.4726691981220018,0,0.4694388950761382,0.021751447228496784,0.976401179941003,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,1,reported_twosides,0.00408366322517395,0.003599199844817535,0.4726691981220018,0,0.46906999827718426,0.02384556983681917,0.9751369574378423,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=NC2=C(N1)C(=S)N=CN2,C1=NC2C(=N1)NC(=NC2=S)N,1,reported_twosides,0.005190601572394371,0.004583649839282939,0.4726691981220018,0,0.46808554828271887,0.0292572735421009,0.9713442899283607,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(C(F)(F)F)(OC(F)F)F,CC(=O)OC1CC2CCC3C(C2(CC1N4CCCCC4)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C,1,reported_twosides,0.008004406467080116,0.007093735494576389,0.4726691981220018,0,0.46557546262742544,0.042172171855926414,0.956173619890434,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(=O)N(CC(CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)C)O)C2=C(C(=C(C(=C2I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].O.[Gd+3],1,reported_twosides,0.011652840301394463,0.01036049632437785,0.4726691981220018,0,0.46230870179762396,0.0576515713521582,0.9401601348504003,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)NC(=O)COC)I,CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].O.[Gd+3],1,reported_twosides,0.013995852321386337,0.012464033742073327,0.4726691981220018,0,0.4602051643799285,0.06703967522670731,0.9292035398230089,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C#CCNC1CCC2=CC=CC=C12,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],1,reported_twosides,0.014044598676264286,0.01250783887841776,0.4726691981220018,0,0.46016135924358403,0.06723112944464618,0.9283607248209018,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC,CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)CCl,1,reported_twosides,0.014463421888649464,0.012884273229652137,0.4726691981220018,0,0.4597849248923497,0.06887002040036432,0.9279393173198482,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=CC2=C(C=C1Cl)NC(=O)O2,C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,1,reported_twosides,0.014850668609142303,0.013232429915486538,0.4726691981220018,0,0.45943676820651524,0.07037587209724912,0.9258322798145807,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)F)Cl)N,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,1,reported_twosides,0.014958028681576252,0.013328969948388877,0.4726691981220018,0,0.4593402281736129,0.0707917738916752,0.9245680573114201,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F,C[N+](C)(C)CC(CC(=O)O)O,1,reported_twosides,0.02170516923069954,0.0194097205368603,0.4726691981220018,0,0.4532594775851415,0.0957328762190591,0.8933839022334598,0.00042140750105351877,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC=CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O,COC1(C2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)[O-])NC(=O)CC3=CC=CS3,1,reported_twosides,0.022836901247501373,0.020432057395389037,0.4726691981220018,0,0.45223714072661275,0.09971587417296371,0.8891698272229246,0.0008428150021070375,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,1,reported_twosides,0.02335497736930847,0.02090026417020795,0.4726691981220018,0,0.45176893395179385,0.10152240148155271,0.8874841972187105,0.0008428150021070375,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,CCCCS(=O)(=O)NC(CC1=CC=C(C=C1)OCCCCC2CCNCC2)C(=O)O,1,reported_twosides,0.023684224113821983,0.021197884973235576,0.4726691981220018,0,0.4514713131487662,0.10266515621113124,0.8866413822166035,0.0008428150021070375,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CC2C(=O)NC3CSSCCC(=O)N(C3=O)C(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N2C1)CC4=CNC5=CC=CC=C54)CC(=O)O)CCCCN=C(N)N,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,1,reported_twosides,0.02387717366218567,0.021372324620429806,0.4726691981220018,0,0.451296873501572,0.10333295228801273,0.8866413822166035,0.0008428150021070375,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,1,reported_twosides,0.02440326288342476,0.0218480345399579,0.4726691981220018,0,0.45082116358204394,0.10514672188716016,0.8832701222081754,0.0008428150021070375,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1C(OC(S1)CO)N2C=C(C(=NC2=O)N)F,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,1,reported_twosides,0.02565457671880722,0.02298003567618848,0.4726691981220018,0,0.4496891624458133,0.10942059799986392,0.876527602191319,0.0008428150021070375,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)F)Cl)N,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,1,reported_twosides,0.025926968082785606,0.023226549157441666,0.4726691981220018,0,0.44944264896456015,0.11034364567418702,0.8748419721871049,0.0008428150021070375,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(C(NC(=O)C2CCCN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(C4=CC=C(C=C4)O)O)O)C(CCN)O)NCCN)O,1,reported_twosides,0.026879368349909782,0.02408872980619077,0.4726691981220018,0,0.44858046831581105,0.1135511150633545,0.8723135271807838,0.0008428150021070375,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C.C1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC=C(C=C1)S(=O)(=O)[O-],1,reported_twosides,0.028247278183698654,0.025327755736087313,0.4726691981220018,0,0.4473414423859145,0.11810540823773541,0.8676780446691951,0.0008428150021070375,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O,1,reported_twosides,0.030586866661906242,0.027448751855693312,0.4726691981220018,0,0.4452204462663085,0.1257587316130637,0.8579856721449641,0.0012642225031605564,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NC(=O)NN3)C4=CC=C(C=C4)F,CN(C)NN=C1C(=NC=N1)C(=O)N,1,reported_twosides,0.031189652159810066,0.02799558426443219,0.4726691981220018,0,0.44467361385756965,0.12770404712131,0.8563000421407501,0.0012642225031605564,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,[N]=O,1,reported_twosides,0.03307513892650604,0.029706993312070662,0.4726691981220018,0,0.44296220480993115,0.1337221682028241,0.8457648546144121,0.002107037505267594,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)[O-],CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,1,reported_twosides,0.03638828545808792,0.032717599353704364,0.4726691981220018,0,0.4399515987682974,0.14406546921896418,0.8305941845764855,0.0029498525073746312,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(C(F)(F)F)(OC(F)F)Cl,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C,1,reported_twosides,0.03822643682360649,0.03438967400583193,0.4726691981220018,0,0.4382795241161699,0.14968461639798708,0.8225874420564686,0.0029498525073746312,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)F)Cl)N,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,1,reported_twosides,0.03898777440190315,0.03508258543256032,0.4726691981220018,0,0.4375866126894415,0.15198829586114182,0.8209018120522545,0.00337126000842815,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)[O-],[N]=O,1,reported_twosides,0.03945665806531906,0.03550943127091571,0.4726691981220018,0,0.4371597668510861,0.1534003264447912,0.820480404551201,0.00337126000842815,no_interaction,1,False,1.0,1.0,1.0,True,True,False
CC(=O)NCCCS(=O)(=O)O,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,1,reported_twosides,0.04060915857553482,0.03655893663785079,0.4726691981220018,0,0.436110261484151,0.15684965501596054,0.8175305520438264,0.0037926675094816687,no_interaction,1,False,1.0,1.0,1.0,True,True,False
C(C1C(C(C(C(O1)O)O)O)O)O,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,1,reported_twosides,0.04087449610233307,0.03680062823371948,0.4726691981220018,0,0.4358685698882823,0.15763954229753183,0.8171091445427728,0.0037926675094816687,no_interaction,1,False,1.0,1.0,1.0,True,True,False
