source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
CC(=O)NC1=CC=C(C=C1)O,CN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,0,unreported_twosides_sampled,0.9903283715248108,0.9898283637256878,0.4726691981220018,1,0.517159165603686,0.056788744131736194,0.00042140750105351877,0.9410029498525073,interaction,1,False,1.0,1.0,1.0,True,True,False
CC(=O)NC1=CC=C(C=C1)O,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,0,unreported_twosides_sampled,0.9891479015350342,0.9885777297400034,0.4726691981220018,1,0.5159085316180015,0.0624393525628645,0.00042140750105351877,0.933417614833544,interaction,1,False,1.0,1.0,1.0,True,True,False
C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O,0,unreported_twosides_sampled,0.9883183240890503,0.9876983279926704,0.4726691981220018,1,0.5150291298706686,0.06632869487897237,0.00042140750105351877,0.9300463548251159,interaction,1,False,1.0,1.0,1.0,True,True,False
CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCCC3CC2C(=O)O,0,unreported_twosides_sampled,0.9881751537322998,0.9875465190611868,0.4726691981220018,1,0.514877320939185,0.06699352998650362,0.00042140750105351877,0.9292035398230089,interaction,1,False,1.0,1.0,1.0,True,True,False
CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,0,unreported_twosides_sampled,0.9830949902534485,0.9821536001538566,0.4726691981220018,1,0.5094844020318547,0.08953497255210924,0.00042140750105351877,0.8980193847450485,interaction,1,False,1.0,1.0,1.0,True,True,False
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,0,unreported_twosides_sampled,0.9769532084465027,0.9756219874334023,0.4726691981220018,1,0.5029527893114005,0.1146201591353253,0.0008428150021070375,0.8714707121786768,interaction,1,False,1.0,1.0,1.0,True,True,False
CC(=O)CC(C1=CC=CC=C1)C2=C(OC3=CC=CC=C3C2=O)O,CCC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,0,unreported_twosides_sampled,0.9761665463447571,0.9747847308296159,0.4726691981220018,1,0.5021155327076141,0.11769455307996528,0.0008428150021070375,0.8685208596713021,interaction,1,False,1.0,1.0,1.0,True,True,False
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,0,unreported_twosides_sampled,0.9733359217643738,0.9717710828239824,0.4726691981220018,1,0.4991018847019806,0.128530754431069,0.0012642225031605564,0.8550358196375896,interaction,1,False,1.0,1.0,1.0,True,True,False
C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,CC(C)C1CCCC(C1)C(=O)NC(CC2=CC=CC=C2)C(=O)O,0,unreported_twosides_sampled,0.9706676602363586,0.9689291015091885,0.4726691981220018,1,0.49625990338718673,0.13844523538792566,0.0025284450063211127,0.8398651495996629,interaction,1,False,1.0,1.0,1.0,True,True,False
C1=NC2=C(N1COCCO)NC(=NC2=O)N,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,0,unreported_twosides_sampled,0.9702403545379639,0.9684738827261518,0.4726691981220018,1,0.49580468460414995,0.14000772601126898,0.0029498525073746312,0.8381795195954488,interaction,1,False,1.0,1.0,1.0,True,True,False
