source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-],CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1CCC2(CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)OC1C(C)C,0,unreported_twosides_sampled,0.9988864064216614,0.9983143916897049,0.47450715325434717,1,0.5238072384353578,0.012447855786997038,0.00042140750105351877,0.9869363674673409,interaction,1,False,0.4065934065934066,0.22302158273381295,0.22302158273381295,False,False,True
C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=C(SC=C3)Cl,C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt],0,unreported_twosides_sampled,0.9986786246299744,0.9980122172380038,0.47450715325434717,1,0.5235050639836567,0.014351276508660103,0.00042140750105351877,0.9848293299620733,interaction,1,False,0.78,0.26666666666666666,0.26666666666666666,False,False,True
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,0,unreported_twosides_sampled,0.9984642267227173,0.9977022539064024,0.47450715325434717,1,0.5231951006520552,0.016255811076775047,0.00042140750105351877,0.9835651074589128,interaction,1,False,0.21212121212121213,0.2923076923076923,0.21212121212121213,False,False,True
C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-],0,unreported_twosides_sampled,0.9984561204910278,0.9976905672464802,0.47450715325434717,1,0.523183413992133,0.016326760573885848,0.00042140750105351877,0.9835651074589128,interaction,1,False,0.3088235294117647,0.4065934065934066,0.3088235294117647,False,False,True
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,0,unreported_twosides_sampled,0.998138427734375,0.9972342322686252,0.47450715325434717,1,0.522727079014278,0.01905352010399319,0.00042140750105351877,0.9810366624525917,interaction,1,False,0.21212121212121213,0.358974358974359,0.21212121212121213,False,False,True
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],C1=CC=C(C=C1)CCNN,0,unreported_twosides_sampled,0.9970445036888123,0.9956827374764191,0.47450715325434717,1,0.521175584222072,0.027816001591637385,0.00042140750105351877,0.9726085124315212,interaction,1,False,0.21212121212121213,0.35714285714285715,0.21212121212121213,False,False,True
CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-],CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)[O-])C3CCCCC3,0,unreported_twosides_sampled,0.996549129486084,0.9949879218965819,0.47450715325434717,1,0.5204807686422348,0.0315429843806301,0.00042140750105351877,0.9696586599241467,interaction,1,False,0.4065934065934066,0.36363636363636365,0.36363636363636365,False,False,True
CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-],CN(C)CCC=C1C2=CC=CC=C2COC3=C1C=C(C=C3)CC(=O)O,0,unreported_twosides_sampled,0.9963316321372986,0.994684102014532,0.47450715325434717,1,0.5201769487601848,0.03314138473449344,0.00042140750105351877,0.967551622418879,interaction,1,False,0.4065934065934066,0.6530612244897959,0.4065934065934066,False,False,False
CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1CCC2(CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)OC1C(C)C,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,0,unreported_twosides_sampled,0.9961888194084167,0.9944849890121974,0.47450715325434717,1,0.5199778357578502,0.034179385631321856,0.00042140750105351877,0.967551622418879,interaction,1,False,0.22302158273381295,0.4794520547945205,0.22302158273381295,False,False,True
CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-],CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,0,unreported_twosides_sampled,0.9961829781532288,0.9944768512113064,0.47450715325434717,1,0.5199696979569592,0.034221653449256824,0.00042140750105351877,0.967551622418879,interaction,1,False,0.4065934065934066,0.31666666666666665,0.31666666666666665,False,False,True
